SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CATARACTSURGICAL,dcid:country/ARG,2013,67.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/ARG,2013,70.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/ARG,2013,64.0
dcs:who/CATARACTSURGICAL,dcid:country/BOL,2014,38.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/BOL,2014,38.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/BOL,2014,40.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/BTN,2009,46.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/BTN,2009,33.0
dcs:who/CATARACTSURGICAL,dcid:country/BTN,2009,39.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/BWA,2015,52.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/BWA,2015,51.0
dcs:who/CATARACTSURGICAL,dcid:country/BWA,2015,52.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/DOM,2008,24.0
dcs:who/CATARACTSURGICAL,dcid:country/DOM,2008,26.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/DOM,2008,27.0
dcs:who/CATARACTSURGICAL,dcid:country/ECU,2009,41.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/ECU,2009,41.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/ECU,2009,42.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/ERI,2008,42.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/ERI,2008,40.0
dcs:who/CATARACTSURGICAL,dcid:country/ERI,2008,40.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/GMB,2007,41.0
dcs:who/CATARACTSURGICAL,dcid:country/GMB,2007,33.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/GMB,2007,28.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/GNB,2010,13.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/GNB,2010,16.0
dcs:who/CATARACTSURGICAL,dcid:country/GNB,2010,14.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/GTM,2015,19.0
dcs:who/CATARACTSURGICAL,dcid:country/GTM,2015,17.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/GTM,2015,14.0
dcs:who/CATARACTSURGICAL,dcid:country/HND,2013,40.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/HND,2013,38.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/HND,2013,40.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/HUN,2015,79.0
dcs:who/CATARACTSURGICAL,dcid:country/HUN,2015,81.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/HUN,2015,82.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/KHM,2007,29.0
dcs:who/CATARACTSURGICAL,dcid:country/KHM,2007,24.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/KHM,2007,22.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/LAO,2007,14.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/LAO,2007,34.0
dcs:who/CATARACTSURGICAL,dcid:country/LAO,2007,22.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/LBR,2012,35.0
dcs:who/CATARACTSURGICAL,dcid:country/LBR,2012,31.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/LBR,2012,28.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/LKA,2016,53.0
dcs:who/CATARACTSURGICAL,dcid:country/LKA,2016,51.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/LKA,2016,46.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/MDA,2012,31.0
dcs:who/CATARACTSURGICAL,dcid:country/MDA,2012,29.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/MDA,2012,26.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/MDV,2016,66.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/MDV,2016,71.0
dcs:who/CATARACTSURGICAL,dcid:country/MDV,2016,69.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/MNG,2013,36.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/MNG,2013,37.0
dcs:who/CATARACTSURGICAL,dcid:country/MNG,2013,36.0
dcs:who/CATARACTSURGICAL,dcid:country/MYS,2014,66.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/MYS,2014,66.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/MYS,2014,67.0
dcs:who/CATARACTSURGICAL,dcid:country/NGA,2007,21.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/NGA,2007,16.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/NGA,2007,30.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/NPL,2010,56.0
dcs:who/CATARACTSURGICAL,dcid:country/NPL,2010,55.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/NPL,2010,54.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/PAN,2013,50.0
dcs:who/CATARACTSURGICAL,dcid:country/PAN,2013,53.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/PAN,2013,56.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/PER,2011,40.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/PER,2011,33.0
dcs:who/CATARACTSURGICAL,dcid:country/PER,2011,37.0
dcs:who/CATARACTSURGICAL,dcid:country/PRY,2011,61.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/PRY,2011,67.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/PRY,2011,54.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/RWA,2015,46.0
dcs:who/CATARACTSURGICAL,dcid:country/RWA,2015,44.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/RWA,2015,43.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/SLE,2011,16.0
dcs:who/CATARACTSURGICAL,dcid:country/SLE,2011,22.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/SLE,2011,30.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/SLV,2011,27.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/SLV,2011,30.0
dcs:who/CATARACTSURGICAL,dcid:country/SLV,2011,28.0
dcs:who/CATARACTSURGICAL,dcid:country/SUR,2013,81.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/SUR,2013,80.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/SUR,2013,83.0
dcs:who/CATARACTSURGICAL,dcid:country/THA,2013,47.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/THA,2013,49.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/THA,2013,43.0
dcs:who/CATARACTSURGICAL,dcid:country/TLS,2016,21.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/TLS,2016,30.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/TLS,2016,14.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/URY,2011,54.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/URY,2011,48.0
dcs:who/CATARACTSURGICAL,dcid:country/URY,2011,50.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/VEN,2004,30.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/VEN,2004,34.0
dcs:who/CATARACTSURGICAL,dcid:country/VEN,2004,32.0
dcs:who/CATARACTSURGICAL,dcid:country/VNM,2008,39.0
dcs:who/CATARACTSURGICAL.SEX--F,dcid:country/VNM,2008,38.0
dcs:who/CATARACTSURGICAL.SEX--M,dcid:country/VNM,2008,41.0
