SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/ARG,2013,59.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/ARG,2013,61.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/ARG,2013,55.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/BOL,2014,28.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/BOL,2014,15.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/BOL,2014,23.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/BWA,2015,36.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/BWA,2015,27.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/BWA,2015,41.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/DOM,2008,17.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/DOM,2008,16.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/DOM,2008,16.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/ECU,2009,29.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/ECU,2009,31.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/ECU,2009,27.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/ERI,2008,20.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/ERI,2008,20.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/ERI,2008,20.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/GMB,2007,28.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/GMB,2007,14.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/GMB,2007,19.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/GNB,2010,3.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/GNB,2010,4.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/GNB,2010,4.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/GTM,2015,13.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/GTM,2015,13.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/GTM,2015,13.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/HND,2013,28.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/HND,2013,28.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/HND,2013,28.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/HUN,2015,70.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/HUN,2015,71.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/HUN,2015,68.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/KHM,2007,16.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/KHM,2007,14.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/KHM,2007,13.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/LAO,2007,19.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/LAO,2007,9.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/LAO,2007,13.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/LKA,2016,32.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/LKA,2016,35.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/LKA,2016,27.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/MDA,2012,13.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/MDA,2012,12.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/MDA,2012,14.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/MDV,2016,47.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/MDV,2016,57.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/MDV,2016,52.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/MNG,2013,21.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/MNG,2013,19.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/MNG,2013,20.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/MYS,2014,60.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/MYS,2014,60.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/MYS,2014,59.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/NGA,2007,8.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/NGA,2007,6.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/NGA,2007,12.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/PAN,2013,35.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/PAN,2013,32.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/PAN,2013,34.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/PER,2011,26.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/PER,2011,26.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/PER,2011,25.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/PRY,2011,42.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/PRY,2011,57.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/PRY,2011,49.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/RWA,2015,37.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/RWA,2015,34.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/RWA,2015,33.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/SLE,2011,9.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/SLE,2011,11.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/SLE,2011,13.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/SLV,2011,18.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/SLV,2011,21.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/SLV,2011,16.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/SUR,2013,74.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/SUR,2013,72.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/SUR,2013,69.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/TLS,2016,15.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/TLS,2016,20.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/TLS,2016,11.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/URY,2011,37.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/URY,2011,36.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/URY,2011,38.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/VEN,2004,24.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/VEN,2004,26.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/VEN,2004,21.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--M,dcid:country/VNM,2008,24.0
dcs:who/CATARACTSURGICALEFFECTIVE.SEX--F,dcid:country/VNM,2008,21.0
dcs:who/CATARACTSURGICALEFFECTIVE,dcid:country/VNM,2008,22.0
