SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2018,158599.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2021,153318.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2019,156882.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2020,154726.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1995,235521.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2002,213408.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1994,251735.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1992,235815.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2012,174192.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2016,162998.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2011,177746.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2015,166081.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1993,238258.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2003,211137.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2000,221840.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2014,168405.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2017,160350.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1991,242179.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2013,171541.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2010,186218.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2008,197897.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1996,234246.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2005,206429.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1990,237115.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1998,230718.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2004,213184.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1999,226512.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2009,185825.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2006,198068.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2001,217884.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,1997,232377.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--F,dcid:Earth,2007,194086.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2016,209470.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,1991,280629.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2012,219048.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2015,212330.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2018,204979.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,1994,292156.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,1993,278756.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2002,257874.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2003,254443.0
dcs:who/CHILDMORT_DEATHS_10TO14.SEX--M,dcid:Earth,2013,216964.0
