SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2015,3.12673
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2005,3.81133
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2016,3.05773
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2014,3.18076
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2008,3.70212
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2017,2.99562
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2007,3.63835
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2006,3.69646
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2020,2.84323
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2011,3.36984
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2013,3.24486
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2019,2.89358
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2010,3.61201
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2009,3.50551
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2012,3.30057
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2018,2.94397
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1992,4.90938
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2000,4.02817
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1993,4.86059
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1998,4.27996
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1994,4.93889
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1999,4.15472
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2004,3.91441
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2001,3.94325
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1991,5.10863
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2002,3.87802
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1996,4.52278
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1997,4.39311
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,2003,3.8549
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1995,4.6423
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:Earth,1990,5.09217
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2020,2.63106
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1994,6.12302
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2008,4.37267
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2014,3.1702
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2004,5.01935
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2000,5.1444
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1998,5.50994
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1990,6.62519
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2006,4.35721
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2012,3.445
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2016,2.94301
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1996,5.86344
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2007,4.21961
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2015,3.07389
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2002,4.83917
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1995,6.0028
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1999,5.32059
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2009,3.92343
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1997,5.69706
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2001,4.98291
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2019,2.69717
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2017,2.8492
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1993,6.24367
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1992,6.36666
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2018,2.76897
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2010,3.75095
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2005,4.48033
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2003,4.71427
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,1991,6.94832
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2011,3.59396
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:SouthEasternAsia,2013,3.30175
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1991,12.03574
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2017,6.72169
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2001,9.79938
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2002,9.57605
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2014,7.18024
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1995,11.2729
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1999,10.2675
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2004,9.12972
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2013,7.32317
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2011,7.66545
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1998,10.51082
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1992,11.9135
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1997,10.77312
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2008,8.25671
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2012,7.48409
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1990,12.31301
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2009,8.0496
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2016,6.87195
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2019,6.44009
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1996,11.02321
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2000,10.03699
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2010,7.85221
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1993,11.96264
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,1994,13.02739
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2006,8.68895
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2018,6.57325
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2003,9.36866
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2005,8.90778
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2007,8.47212
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2020,6.2923
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:africa,2015,7.03016
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2006,4.44194
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2016,2.68362
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2012,3.72923
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1992,8.40077
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2019,2.3167
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1999,5.28584
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2011,3.98301
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1996,6.34209
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2020,2.38785
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2014,3.13687
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1990,9.66931
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1994,7.29434
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2018,2.40851
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2003,4.55469
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1993,7.82271
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1995,6.80427
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2001,4.84427
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2008,4.44936
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1997,5.92199
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2010,4.19799
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2005,4.43099
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2004,4.47444
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2002,4.67688
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2013,3.43614
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2009,4.3568
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2017,2.53144
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2000,5.05169
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2007,4.45823
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,2015,2.88431
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1998,7.10252
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AFG,1991,9.02037
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2015,7.58647
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2017,7.0708
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2018,6.83732
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2020,6.41903
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2011,9.21619
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2016,7.31203
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2012,8.73152
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2014,7.91582
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2010,9.71983
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2019,6.61655
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2013,8.29709
dcs:who/CHILDMORT_MORTALITY_10TO14,dcid:country/AGO,2009,10.24709
