SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHOLERA_0000000003,dcid:country/AFG,2016,0.73855
dcs:who/CHOLERA_0000000003,dcid:country/AFG,2015,0.01
dcs:who/CHOLERA_0000000003,dcid:country/AFG,2014,0.00879
dcs:who/CHOLERA_0000000003,dcid:country/AFG,2013,0.35
dcs:who/CHOLERA_0000000003,dcid:country/AFG,2012,0.1
dcs:who/CHOLERA_0000000003,dcid:country/AGO,2016,3.84615
dcs:who/CHOLERA_0000000003,dcid:country/AGO,2014,1.40845
dcs:who/CHOLERA_0000000003,dcid:country/AGO,2013,1.29
dcs:who/CHOLERA_0000000003,dcid:country/AGO,2012,8.07
dcs:who/CHOLERA_0000000003,dcid:country/AUS,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/AUS,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/AUS,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/AUS,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/BDI,2016,1.15207
dcs:who/CHOLERA_0000000003,dcid:country/BDI,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/BDI,2014,1.54639
dcs:who/CHOLERA_0000000003,dcid:country/BDI,2013,1.09
dcs:who/CHOLERA_0000000003,dcid:country/BDI,2012,0.47
dcs:who/CHOLERA_0000000003,dcid:country/BEN,2016,1.70828
dcs:who/CHOLERA_0000000003,dcid:country/BEN,2014,1.44231
dcs:who/CHOLERA_0000000003,dcid:country/BEN,2013,1.14
dcs:who/CHOLERA_0000000003,dcid:country/BEN,2012,0.48
dcs:who/CHOLERA_0000000003,dcid:country/BFA,2012,4.9
dcs:who/CHOLERA_0000000003,dcid:country/BHR,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/BHS,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CAF,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CAN,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CAN,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CAN,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CAN,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHE,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHL,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHL,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHN,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHN,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHN,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CHN,2013,1.89
dcs:who/CHOLERA_0000000003,dcid:country/CHN,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CIV,2015,3.0
dcs:who/CHOLERA_0000000003,dcid:country/CIV,2014,5.10638
dcs:who/CHOLERA_0000000003,dcid:country/CIV,2013,3.57
dcs:who/CHOLERA_0000000003,dcid:country/CIV,2012,4.48
dcs:who/CHOLERA_0000000003,dcid:country/CMR,2015,4.8
dcs:who/CHOLERA_0000000003,dcid:country/CMR,2014,5.48435
dcs:who/CHOLERA_0000000003,dcid:country/CMR,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CMR,2012,1.38
dcs:who/CHOLERA_0000000003,dcid:country/COD,2016,2.70174
dcs:who/CHOLERA_0000000003,dcid:country/COD,2015,1.4
dcs:who/CHOLERA_0000000003,dcid:country/COD,2014,1.67545
dcs:who/CHOLERA_0000000003,dcid:country/COD,2013,1.82
dcs:who/CHOLERA_0000000003,dcid:country/COD,2012,2.43
dcs:who/CHOLERA_0000000003,dcid:country/COG,2016,13.33333
dcs:who/CHOLERA_0000000003,dcid:country/COG,2013,13.61
dcs:who/CHOLERA_0000000003,dcid:country/COG,2012,3.13
dcs:who/CHOLERA_0000000003,dcid:country/CUB,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CUB,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CUB,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/CUB,2012,0.72
dcs:who/CHOLERA_0000000003,dcid:country/DEU,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/DNK,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/DOM,2016,2.32959
dcs:who/CHOLERA_0000000003,dcid:country/DOM,2015,2.7
dcs:who/CHOLERA_0000000003,dcid:country/DOM,2014,1.82421
dcs:who/CHOLERA_0000000003,dcid:country/DOM,2013,2.15
dcs:who/CHOLERA_0000000003,dcid:country/DOM,2012,0.86
dcs:who/CHOLERA_0000000003,dcid:country/ESP,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/FRA,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/FRA,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GBR,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GBR,2015,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GBR,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GBR,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GBR,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GHA,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GHA,2015,1.2
dcs:who/CHOLERA_0000000003,dcid:country/GHA,2014,0.83955
dcs:who/CHOLERA_0000000003,dcid:country/GHA,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GHA,2012,1.05
dcs:who/CHOLERA_0000000003,dcid:country/GIN,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/GIN,2013,10.03
dcs:who/CHOLERA_0000000003,dcid:country/GIN,2012,1.81
dcs:who/CHOLERA_0000000003,dcid:country/GNB,2014,18.18182
dcs:who/CHOLERA_0000000003,dcid:country/GNB,2013,2.89
dcs:who/CHOLERA_0000000003,dcid:country/GNB,2012,0.72
dcs:who/CHOLERA_0000000003,dcid:country/HTI,2016,1.07916
dcs:who/CHOLERA_0000000003,dcid:country/HTI,2015,0.9
dcs:who/CHOLERA_0000000003,dcid:country/HTI,2014,1.06655
dcs:who/CHOLERA_0000000003,dcid:country/HTI,2013,1.01
dcs:who/CHOLERA_0000000003,dcid:country/HTI,2012,0.8
dcs:who/CHOLERA_0000000003,dcid:country/IND,2016,0.35672
dcs:who/CHOLERA_0000000003,dcid:country/IND,2015,0.4
dcs:who/CHOLERA_0000000003,dcid:country/IND,2014,0.52096
dcs:who/CHOLERA_0000000003,dcid:country/IND,2013,0.9
dcs:who/CHOLERA_0000000003,dcid:country/IRN,2015,1.2
dcs:who/CHOLERA_0000000003,dcid:country/IRN,2013,2.73
dcs:who/CHOLERA_0000000003,dcid:country/IRN,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/IRQ,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/IRQ,2015,0.04
dcs:who/CHOLERA_0000000003,dcid:country/IRQ,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/IRQ,2012,0.0
dcs:who/CHOLERA_0000000003,dcid:country/ISR,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/ITA,2013,0.0
dcs:who/CHOLERA_0000000003,dcid:country/JPN,2016,0.0
dcs:who/CHOLERA_0000000003,dcid:country/JPN,2014,0.0
dcs:who/CHOLERA_0000000003,dcid:country/JPN,2013,0.0
