SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2018,2573463.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2015,2774696.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2004,3639943.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2003,3742301.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2007,3369878.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2021,2360922.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2011,3077015.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2005,3532785.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1992,4876402.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2000,4095291.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1999,4164970.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2010,3150573.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1995,4593597.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2022,2307147.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2001,3985522.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1998,4264867.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2014,2847106.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2017,2641963.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1990,5210825.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1994,4684615.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2013,2932564.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2008,3296204.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2012,3013597.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1996,4483047.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2016,2715417.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2006,3440922.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2002,3867042.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1997,4374642.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2009,3226584.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1993,4773270.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2019,2497174.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,1991,4997680.0
dcs:who/CM_03.AGE--D0T27,dcid:Earth,2020,2420360.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1998,1750537.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1997,1803552.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2006,1283287.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2000,1651163.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1992,2022937.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1993,1973005.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2001,1606885.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2021,584236.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2016,796489.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2019,661398.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2005,1343753.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2009,1136507.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2020,616478.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2007,1233496.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2011,1033880.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2015,833045.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2014,873062.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2012,983232.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1991,2070804.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2003,1470800.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2002,1543348.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2018,711797.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,2017,747807.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1999,1694389.0
dcs:who/CM_03.AGE--D0T27,dcid:SouthEasternAsia,1995,1898587.0
