SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CaseCS,dcid:country/ALB,2021,0.0
dcs:who/CaseCS,dcid:country/ALB,2017,2.0
dcs:who/CaseCS,dcid:country/ALB,2013,2.0
dcs:who/CaseCS,dcid:country/ALB,2014,0.0
dcs:who/CaseCS,dcid:country/ALB,2020,0.0
dcs:who/CaseCS,dcid:country/ALB,2018,0.0
dcs:who/CaseCS,dcid:country/ALB,2016,1.0
dcs:who/CaseCS,dcid:country/ALB,2015,0.0
dcs:who/CaseCS,dcid:country/ALB,2019,0.0
dcs:who/CaseCS,dcid:country/ARE,2023,3.0
dcs:who/CaseCS,dcid:country/ARE,2022,8.0
dcs:who/CaseCS,dcid:country/ARE,2015,1.0
dcs:who/CaseCS,dcid:country/ARE,2012,4.0
dcs:who/CaseCS,dcid:country/ARE,2019,2.0
dcs:who/CaseCS,dcid:country/ARE,2014,0.0
dcs:who/CaseCS,dcid:country/ARE,2018,4.0
dcs:who/CaseCS,dcid:country/ARE,2020,2.0
dcs:who/CaseCS,dcid:country/ARE,2016,3.0
dcs:who/CaseCS,dcid:country/ARE,2021,5.0
dcs:who/CaseCS,dcid:country/ARE,2017,1.0
dcs:who/CaseCS,dcid:country/ARG,2021,696.0
dcs:who/CaseCS,dcid:country/ARG,2018,1081.0
dcs:who/CaseCS,dcid:country/ARG,2019,937.0
dcs:who/CaseCS,dcid:country/ARG,2016,1031.0
dcs:who/CaseCS,dcid:country/ARG,2017,1216.0
dcs:who/CaseCS,dcid:country/ARG,2020,712.0
dcs:who/CaseCS,dcid:country/ARG,2014,987.0
dcs:who/CaseCS,dcid:country/ARG,2015,930.0
dcs:who/CaseCS,dcid:country/ARG,2013,748.0
dcs:who/CaseCS,dcid:country/ARM,2023,6.0
dcs:who/CaseCS,dcid:country/ARM,2020,6.0
dcs:who/CaseCS,dcid:country/ARM,2019,0.0
dcs:who/CaseCS,dcid:country/ARM,2018,0.0
dcs:who/CaseCS,dcid:country/ARM,2017,0.0
dcs:who/CaseCS,dcid:country/ARM,2013,0.0
dcs:who/CaseCS,dcid:country/ARM,2012,0.0
dcs:who/CaseCS,dcid:country/ARM,2015,0.0
dcs:who/CaseCS,dcid:country/ATG,2022,0.0
dcs:who/CaseCS,dcid:country/ATG,2018,0.0
dcs:who/CaseCS,dcid:country/ATG,2017,0.0
dcs:who/CaseCS,dcid:country/ATG,2015,1.0
dcs:who/CaseCS,dcid:country/ATG,2016,0.0
dcs:who/CaseCS,dcid:country/AUS,2012,0.0
dcs:who/CaseCS,dcid:country/AUS,2014,5.0
dcs:who/CaseCS,dcid:country/BFA,2022,16.0
dcs:who/CaseCS,dcid:country/BFA,2020,11.0
dcs:who/CaseCS,dcid:country/BFA,2021,8.0
dcs:who/CaseCS,dcid:country/BFA,2017,52.0
dcs:who/CaseCS,dcid:country/BFA,2019,18.0
dcs:who/CaseCS,dcid:country/BGR,2021,13.0
dcs:who/CaseCS,dcid:country/BGR,2022,24.0
dcs:who/CaseCS,dcid:country/BGR,2020,16.0
dcs:who/CaseCS,dcid:country/BGR,2005,22.0
dcs:who/CaseCS,dcid:country/BGR,2007,37.0
dcs:who/CaseCS,dcid:country/BGR,2017,14.0
dcs:who/CaseCS,dcid:country/BGR,2006,19.0
dcs:who/CaseCS,dcid:country/BGR,2011,38.0
dcs:who/CaseCS,dcid:country/BGR,2010,34.0
dcs:who/CaseCS,dcid:country/BGR,2014,24.0
dcs:who/CaseCS,dcid:country/BGR,2012,29.0
dcs:who/CaseCS,dcid:country/BGR,2008,23.0
dcs:who/CaseCS,dcid:country/BGR,2019,37.0
dcs:who/CaseCS,dcid:country/BGR,2018,25.0
dcs:who/CaseCS,dcid:country/BGR,2013,27.0
