SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/DEVICES05,dcid:country/AFG,2013,0.0851
dcs:who/DEVICES05,dcid:country/AFG,2010,0.08
dcs:who/DEVICES05,dcid:country/AGO,2010,0.0
dcs:who/DEVICES05,dcid:country/ALB,2013,0.28362
dcs:who/DEVICES05,dcid:country/ALB,2010,0.28
dcs:who/DEVICES05,dcid:country/ARM,2013,0.63832
dcs:who/DEVICES05,dcid:country/ARM,2010,0.61
dcs:who/DEVICES05,dcid:country/ATG,2013,1.1113
dcs:who/DEVICES05,dcid:country/ATG,2010,222.07
dcs:who/DEVICES05,dcid:country/AZE,2013,0.53116
dcs:who/DEVICES05,dcid:country/AZE,2010,0.54
dcs:who/DEVICES05,dcid:country/BDI,2013,0.02952
dcs:who/DEVICES05,dcid:country/BDI,2010,0.04
dcs:who/DEVICES05,dcid:country/BEN,2013,0.10655
dcs:who/DEVICES05,dcid:country/BEN,2010,0.12
dcs:who/DEVICES05,dcid:country/BFA,2013,0.05314
dcs:who/DEVICES05,dcid:country/BFA,2010,0.02
dcs:who/DEVICES05,dcid:country/BGD,2013,0.04406
dcs:who/DEVICES05,dcid:country/BGD,2010,0.05
dcs:who/DEVICES05,dcid:country/BHS,2013,0.26499
dcs:who/DEVICES05,dcid:country/BHS,2010,0.29
dcs:who/DEVICES05,dcid:country/BIH,2013,0.13057
dcs:who/DEVICES05,dcid:country/BIH,2010,0.13
dcs:who/DEVICES05,dcid:country/BLR,2013,0.54507
dcs:who/DEVICES05,dcid:country/BLR,2010,0.53
dcs:who/DEVICES05,dcid:country/BLZ,2013,0.60259
dcs:who/DEVICES05,dcid:country/BLZ,2010,0.64
dcs:who/DEVICES05,dcid:country/BOL,2013,0.2905
dcs:who/DEVICES05,dcid:country/BOL,2010,0.31
dcs:who/DEVICES05,dcid:country/BRB,2013,0.35132
dcs:who/DEVICES05,dcid:country/BRB,2010,0.37
dcs:who/DEVICES05,dcid:country/BRN,2013,0.23936
dcs:who/DEVICES05,dcid:country/BRN,2010,0.25
dcs:who/DEVICES05,dcid:country/BTN,2013,0.13264
dcs:who/DEVICES05,dcid:country/BTN,2010,0.14
dcs:who/DEVICES05,dcid:country/BWA,2013,0.14843
dcs:who/DEVICES05,dcid:country/BWA,2010,0.15
dcs:who/DEVICES05,dcid:country/CAF,2013,0.08665
dcs:who/DEVICES05,dcid:country/CAF,2010,0.09
dcs:who/DEVICES05,dcid:country/CAN,2013,0.13075
dcs:who/DEVICES05,dcid:country/CAN,2010,0.14
dcs:who/DEVICES05,dcid:country/CHL,2013,0.35188
dcs:who/DEVICES05,dcid:country/CHL,2010,0.36
dcs:who/DEVICES05,dcid:country/CHN,2010,0.0
dcs:who/DEVICES05,dcid:country/CIV,2013,0.09844
dcs:who/DEVICES05,dcid:country/CIV,2010,0.1
dcs:who/DEVICES05,dcid:country/CMR,2013,0.04044
dcs:who/DEVICES05,dcid:country/CMR,2010,0.05
dcs:who/DEVICES05,dcid:country/COM,2013,0.13607
dcs:who/DEVICES05,dcid:country/COM,2010,0.14
dcs:who/DEVICES05,dcid:country/CPV,2013,0.40088
dcs:who/DEVICES05,dcid:country/CPV,2010,0.4
dcs:who/DEVICES05,dcid:country/CRI,2013,0.28735
dcs:who/DEVICES05,dcid:country/CRI,2010,0.3
dcs:who/DEVICES05,dcid:country/CUB,2013,0.42607
dcs:who/DEVICES05,dcid:country/CUB,2010,0.43
dcs:who/DEVICES05,dcid:country/CYP,2013,0.61341
dcs:who/DEVICES05,dcid:country/CYP,2010,0.63
dcs:who/DEVICES05,dcid:country/CZE,2013,0.25228
dcs:who/DEVICES05,dcid:country/CZE,2010,0.26
dcs:who/DEVICES05,dcid:country/DMA,2013,0.0
dcs:who/DEVICES05,dcid:country/DMA,2010,0.0
dcs:who/DEVICES05,dcid:country/DNK,2013,0.08898
dcs:who/DEVICES05,dcid:country/DNK,2010,0.09
dcs:who/DEVICES05,dcid:country/ECU,2013,0.09531
dcs:who/DEVICES05,dcid:country/ECU,2010,0.1
dcs:who/DEVICES05,dcid:country/EGY,2013,0.12065
dcs:who/DEVICES05,dcid:country/EGY,2010,0.12
dcs:who/DEVICES05,dcid:country/ERI,2013,0.01579
dcs:who/DEVICES05,dcid:country/ERI,2010,0.02
dcs:who/DEVICES05,dcid:country/ESP,2013,0.16195
dcs:who/DEVICES05,dcid:country/ESP,2010,0.16
dcs:who/DEVICES05,dcid:country/EST,2013,0.23305
dcs:who/DEVICES05,dcid:country/EST,2010,0.22
dcs:who/DEVICES05,dcid:country/ETH,2013,0.02657
dcs:who/DEVICES05,dcid:country/ETH,2010,0.03
dcs:who/DEVICES05,dcid:country/FIN,2013,0.09214
dcs:who/DEVICES05,dcid:country/FIN,2010,0.09
dcs:who/DEVICES05,dcid:country/FJI,2013,0.0
dcs:who/DEVICES05,dcid:country/FJI,2010,0.0
dcs:who/DEVICES05,dcid:country/FSM,2013,0.0
dcs:who/DEVICES05,dcid:country/FSM,2010,0.0
dcs:who/DEVICES05,dcid:country/GAB,2013,0.35891
dcs:who/DEVICES05,dcid:country/GAB,2010,0.4
dcs:who/DEVICES05,dcid:country/GEO,2013,2.21153
dcs:who/DEVICES05,dcid:country/GEO,2010,2.21
dcs:who/DEVICES05,dcid:country/GHA,2013,0.03474
dcs:who/DEVICES05,dcid:country/GHA,2010,0.04
dcs:who/DEVICES05,dcid:country/GIN,2013,0.02554
dcs:who/DEVICES05,dcid:country/GIN,2010,0.03
dcs:who/DEVICES05,dcid:country/GMB,2013,0.10815
dcs:who/DEVICES05,dcid:country/GMB,2010,0.12
dcs:who/DEVICES05,dcid:country/GNB,2013,30.80525
dcs:who/DEVICES05,dcid:country/GNB,2010,34.65
dcs:who/DEVICES05,dcid:country/GRD,2013,0.0
dcs:who/DEVICES05,dcid:country/GRD,2010,0.0
dcs:who/DEVICES05,dcid:country/GTM,2013,0.03232
dcs:who/DEVICES05,dcid:country/GTM,2010,0.03
dcs:who/DEVICES05,dcid:country/GUY,2013,0.12506
dcs:who/DEVICES05,dcid:country/GUY,2010,0.13
dcs:who/DEVICES05,dcid:country/HND,2013,0.08644
dcs:who/DEVICES05,dcid:country/HND,2010,0.09
dcs:who/DEVICES05,dcid:country/HRV,2013,0.34967
dcs:who/DEVICES05,dcid:country/HRV,2010,0.34
dcs:who/DEVICES05,dcid:country/HTI,2013,0.03877
dcs:who/DEVICES05,dcid:country/HTI,2010,0.04
dcs:who/DEVICES05,dcid:country/HUN,2013,0.1105
dcs:who/DEVICES05,dcid:country/HUN,2010,0.11
dcs:who/DEVICES05,dcid:country/IRQ,2013,0.18066
dcs:who/DEVICES05,dcid:country/IRQ,2010,0.19
dcs:who/DEVICES05,dcid:country/ISL,2013,0.60692
dcs:who/DEVICES05,dcid:country/ISL,2010,0.62
dcs:who/DEVICES05,dcid:country/ISR,2013,0.07759
dcs:who/DEVICES05,dcid:country/ISR,2010,0.08
dcs:who/DEVICES05,dcid:country/ITA,2013,0.13773
dcs:who/DEVICES05,dcid:country/ITA,2010,0.14
dcs:who/DEVICES05,dcid:country/JAM,2013,0.07184
dcs:who/DEVICES05,dcid:country/JAM,2010,0.07
dcs:who/DEVICES05,dcid:country/JOR,2013,0.10998
dcs:who/DEVICES05,dcid:country/JOR,2010,0.13
dcs:who/DEVICES05,dcid:country/KAZ,2013,0.16423
dcs:who/DEVICES05,dcid:country/KAZ,2010,0.17
dcs:who/DEVICES05,dcid:country/KEN,2013,0.01578
dcs:who/DEVICES05,dcid:country/KEN,2010,0.02
dcs:who/DEVICES05,dcid:country/KGZ,2013,0.70301
dcs:who/DEVICES05,dcid:country/KGZ,2010,0.73
dcs:who/DEVICES05,dcid:country/KHM,2013,0.05946
dcs:who/DEVICES05,dcid:country/KHM,2010,0.06
dcs:who/DEVICES05,dcid:country/KIR,2013,0.0
dcs:who/DEVICES05,dcid:country/KIR,2010,0.0
dcs:who/DEVICES05,dcid:country/KNA,2013,0.0
dcs:who/DEVICES05,dcid:country/KNA,2010,0.0
dcs:who/DEVICES05,dcid:country/KOR,2013,0.08932
dcs:who/DEVICES05,dcid:country/KOR,2010,0.09
dcs:who/DEVICES05,dcid:country/LAO,2013,0.1034
dcs:who/DEVICES05,dcid:country/LAO,2010,0.11
dcs:who/DEVICES05,dcid:country/LBN,2013,0.66363
dcs:who/DEVICES05,dcid:country/LBN,2010,0.76
dcs:who/DEVICES05,dcid:country/LBR,2013,0.02329
dcs:who/DEVICES05,dcid:country/LBR,2010,0.03
dcs:who/DEVICES05,dcid:country/LBY,2013,0.49988
dcs:who/DEVICES05,dcid:country/LBY,2010,0.49
