SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/E5_compliance,dcid:country/ALB,2014,10.0
dcs:who/E5_compliance,dcid:country/ARG,2014,6.0
dcs:who/E5_compliance,dcid:country/ARM,2014,10.0
dcs:who/E5_compliance,dcid:country/AUT,2014,10.0
dcs:who/E5_compliance,dcid:country/AZE,2014,10.0
dcs:who/E5_compliance,dcid:country/BEL,2014,10.0
dcs:who/E5_compliance,dcid:country/BEN,2014,4.0
dcs:who/E5_compliance,dcid:country/BGD,2014,10.0
dcs:who/E5_compliance,dcid:country/BIH,2014,3.0
dcs:who/E5_compliance,dcid:country/BLR,2014,8.0
dcs:who/E5_compliance,dcid:country/BOL,2014,3.0
dcs:who/E5_compliance,dcid:country/BRA,2014,9.0
dcs:who/E5_compliance,dcid:country/BRN,2014,10.0
dcs:who/E5_compliance,dcid:country/BTN,2014,8.0
dcs:who/E5_compliance,dcid:country/BWA,2014,6.0
dcs:who/E5_compliance,dcid:country/CAN,2014,10.0
dcs:who/E5_compliance,dcid:country/CHL,2014,10.0
dcs:who/E5_compliance,dcid:country/CMR,2014,5.0
dcs:who/E5_compliance,dcid:country/COK,2014,10.0
dcs:who/E5_compliance,dcid:country/COL,2014,9.0
dcs:who/E5_compliance,dcid:country/COM,2014,5.0
dcs:who/E5_compliance,dcid:country/CRI,2014,10.0
dcs:who/E5_compliance,dcid:country/CYP,2014,5.0
dcs:who/E5_compliance,dcid:country/CZE,2014,9.0
dcs:who/E5_compliance,dcid:country/DNK,2014,10.0
dcs:who/E5_compliance,dcid:country/DZA,2014,10.0
dcs:who/E5_compliance,dcid:country/ECU,2014,7.0
dcs:who/E5_compliance,dcid:country/EGY,2014,10.0
dcs:who/E5_compliance,dcid:country/ERI,2014,10.0
dcs:who/E5_compliance,dcid:country/ESP,2014,10.0
dcs:who/E5_compliance,dcid:country/EST,2014,8.0
dcs:who/E5_compliance,dcid:country/ETH,2014,6.0
dcs:who/E5_compliance,dcid:country/FIN,2014,10.0
dcs:who/E5_compliance,dcid:country/FJI,2014,10.0
dcs:who/E5_compliance,dcid:country/FRA,2014,10.0
dcs:who/E5_compliance,dcid:country/GAB,2014,9.0
dcs:who/E5_compliance,dcid:country/GBR,2014,10.0
dcs:who/E5_compliance,dcid:country/GHA,2014,10.0
dcs:who/E5_compliance,dcid:country/GIN,2014,4.0
dcs:who/E5_compliance,dcid:country/GRC,2014,7.0
dcs:who/E5_compliance,dcid:country/HND,2014,8.0
dcs:who/E5_compliance,dcid:country/HRV,2014,10.0
dcs:who/E5_compliance,dcid:country/HUN,2014,10.0
dcs:who/E5_compliance,dcid:country/IND,2014,6.0
dcs:who/E5_compliance,dcid:country/IRL,2014,10.0
dcs:who/E5_compliance,dcid:country/IRN,2014,10.0
dcs:who/E5_compliance,dcid:country/IRQ,2014,3.0
dcs:who/E5_compliance,dcid:country/ISL,2014,10.0
dcs:who/E5_compliance,dcid:country/ITA,2014,10.0
dcs:who/E5_compliance,dcid:country/JOR,2014,8.0
dcs:who/E5_compliance,dcid:country/KAZ,2014,9.0
dcs:who/E5_compliance,dcid:country/KEN,2014,10.0
dcs:who/E5_compliance,dcid:country/KHM,2014,7.0
dcs:who/E5_compliance,dcid:country/KIR,2014,6.0
dcs:who/E5_compliance,dcid:country/LAO,2014,8.0
dcs:who/E5_compliance,dcid:country/LBY,2014,9.0
dcs:who/E5_compliance,dcid:country/LKA,2014,9.0
dcs:who/E5_compliance,dcid:country/LTU,2014,10.0
dcs:who/E5_compliance,dcid:country/LVA,2014,10.0
dcs:who/E5_compliance,dcid:country/MDA,2014,5.0
dcs:who/E5_compliance,dcid:country/MDG,2014,8.0
dcs:who/E5_compliance,dcid:country/MDV,2014,8.0
dcs:who/E5_compliance,dcid:country/MEX,2014,10.0
dcs:who/E5_compliance,dcid:country/MHL,2014,8.0
dcs:who/E5_compliance,dcid:country/MKD,2014,8.0
dcs:who/E5_compliance,dcid:country/MLI,2014,7.0
dcs:who/E5_compliance,dcid:country/MLT,2014,10.0
dcs:who/E5_compliance,dcid:country/MMR,2014,5.0
dcs:who/E5_compliance,dcid:country/MNE,2014,10.0
dcs:who/E5_compliance,dcid:country/MNG,2014,6.0
dcs:who/E5_compliance,dcid:country/MOZ,2014,8.0
dcs:who/E5_compliance,dcid:country/MUS,2014,10.0
dcs:who/E5_compliance,dcid:country/MYS,2014,10.0
dcs:who/E5_compliance,dcid:country/NAM,2014,10.0
dcs:who/E5_compliance,dcid:country/NER,2014,5.0
dcs:who/E5_compliance,dcid:country/NIC,2014,3.0
dcs:who/E5_compliance,dcid:country/NLD,2014,9.0
dcs:who/E5_compliance,dcid:country/NOR,2014,10.0
dcs:who/E5_compliance,dcid:country/NPL,2014,10.0
dcs:who/E5_compliance,dcid:country/NRU,2014,5.0
dcs:who/E5_compliance,dcid:country/PAK,2014,4.0
dcs:who/E5_compliance,dcid:country/PAN,2014,10.0
dcs:who/E5_compliance,dcid:country/PHL,2014,6.0
dcs:who/E5_compliance,dcid:country/PLW,2014,10.0
dcs:who/E5_compliance,dcid:country/PNG,2014,7.0
dcs:who/E5_compliance,dcid:country/POL,2014,10.0
dcs:who/E5_compliance,dcid:country/PRT,2014,10.0
dcs:who/E5_compliance,dcid:country/QAT,2014,10.0
dcs:who/E5_compliance,dcid:country/ROU,2014,10.0
dcs:who/E5_compliance,dcid:country/RUS,2014,10.0
dcs:who/E5_compliance,dcid:country/SDN,2014,10.0
dcs:who/E5_compliance,dcid:country/SLB,2014,8.0
dcs:who/E5_compliance,dcid:country/SMR,2014,7.0
dcs:who/E5_compliance,dcid:country/SRB,2014,9.0
dcs:who/E5_compliance,dcid:country/SUR,2014,8.0
dcs:who/E5_compliance,dcid:country/SVK,2014,10.0
dcs:who/E5_compliance,dcid:country/SVN,2014,8.0
dcs:who/E5_compliance,dcid:country/SWE,2014,10.0
dcs:who/E5_compliance,dcid:country/SWZ,2014,10.0
dcs:who/E5_compliance,dcid:country/SYC,2014,10.0
dcs:who/E5_compliance,dcid:country/TCD,2014,6.0
dcs:who/E5_compliance,dcid:country/TGO,2014,3.0
dcs:who/E5_compliance,dcid:country/THA,2014,10.0
dcs:who/E5_compliance,dcid:country/TJK,2014,7.0
