SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/ARG,2017,3.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/ARG,2017,25.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BHR,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/BHR,2017,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BRA,2017,4.17
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/BRA,2017,8.33
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/CHE,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/CHE,2017,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/CYP,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/DEU,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/FRA,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/GRC,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/HRV,2018,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/HUN,2018,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/HUN,2018,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/IRL,2018,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/IRN,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/IRN,2017,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/ISR,2017,10.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/ITA,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/JPN,2017,3.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/NOR,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/NZL,2017,5.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PER,2017,4.16
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PHL,2017,4.17
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/PHL,2017,8.33
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/RUS,2017,0.5
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFSTATIC,dcid:country/RUS,2017,15.0
dcs:who/EMFLIMITELECTRICLF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/SVN,2018,10.0
