SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/ARG,2017,150.4
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/ARG,2017,106.35
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/ARG,2017,58.36
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/ARG,2017,41.25
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUS,2017,130.0
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUS,2017,92.1
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUS,2017,58.1
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUS,2017,41.1
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUT,2017,90.0
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUT,2017,127.3
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUT,2017,58.34
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUT,2017,41.25
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BEL,2017,127.3
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BEL,2017,90.0
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BGR,2017,127.3
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BGR,2017,90.0
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BGR,2017,6.14
dcs:who/EMFLIMITELECTRICRF.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BGR,2017,6.14
