SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2019,3.77
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2015,3.3
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2000,1.9
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2017,3.63
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2005,2.6
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:Earth,2010,2.72
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,1.8
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,1.74
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,1.84
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,1.83
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,1.67
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,1.95
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2005,2.97
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2000,2.79
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2015,4.93
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2010,3.21
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2017,5.58
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SouthEasternAsia,2019,5.89
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2005,2.63
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2010,1.98
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2017,1.97
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2019,2.57
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2000,1.39
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:SubSaharanAfrica,2015,1.87
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2015,1.83
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2005,2.63
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2010,1.92
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2000,1.39
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2019,2.59
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:africa,2017,1.93
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2015,4.46
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2017,4.97
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2005,3.2
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2000,2.33
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2019,5.04
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_SH,dcid:asia,2010,3.55
