SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AFG,2007,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AGO,2008,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ALB,2005,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ALB,2008,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ALB,2002,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ALB,2012,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARG,2004,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARG,1996,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARM,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARM,2012,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARM,2011,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/ARM,2013,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AUS,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AUT,1999,0.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AZE,2005,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AZE,2004,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AZE,2003,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/AZE,2002,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BDI,2006,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BEL,1997,0.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BEL,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BEN,2003,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BFA,2003,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BFA,2009,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BFA,1998,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGD,2005,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGD,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGD,2000,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGR,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGR,2001,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGR,2000,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGR,2007,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BGR,1997,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BIH,2011,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BIH,2007,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BIH,2004,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BIH,2001,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2012,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2009,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2011,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2008,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2004,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2005,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2006,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2002,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2003,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2007,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2000,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,1999,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,2001,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BLR,1998,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BOL,2000,0.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BOL,1999,0.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BOL,2001,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BOL,2002,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BRA,2008,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/BWA,1993,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CAN,2010,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CAN,2004,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CAN,2000,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CAN,2007,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CAN,1994,1.0
dcs:who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,dcid:country/CHE,2004,1.0
