SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ALB,2009,1.34
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ALB,2015,1.49
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2019,4.27158
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2020,2.12562
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2015,3.20017
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2018,4.55343
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2016,6.20943
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2017,4.88946
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2013,3.78748
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2012,2.90886
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2011,3.25586
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2010,3.80974
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2021,2.83337
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/ARM,2014,3.62411
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/AUT,2015,0.20317
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/AUT,2010,0.12209
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/AUT,2005,0.16551
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BEL,2018,0.21829
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BEL,2020,0.39814
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BEL,2012,0.58076
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BEL,2014,0.32297
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BEL,2016,0.40802
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2005,2.47387
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2015,2.72672
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2010,2.62601
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2018,3.62068
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2017,2.47643
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BGR,2016,2.83466
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BIH,2011,1.64094
dcs:who/FINPROTECTION_IMP_BNLFHU_P_HH,dcid:country/BIH,2004,1.62888
