SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,5.17
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,6.75
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/AFG,2020,6.37
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/AFG,2013,3.56
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/AFG,2007,1.98
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,3.97
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/AGO,2018,5.05
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,5.72
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/AGO,2008,2.19
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,2.36
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,2.04
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,2017,0.7
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,1.12
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,2012,1.26
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,2008,1.15
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,1.44
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,1.43
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,1.1
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,0.86
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,2.43
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,2005,1.84
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,2.31
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,1996,2.13
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,3.11
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ALB,2002,4.2
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,0.3
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,5.56
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2021,1.92
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2020,2.94
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2019,3.66
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2017,3.26
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2016,2.48
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,2.21
dcs:who/FINPROTECTION_IMP_NP365_POP,dcid:country/ARM,2015,1.98
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,2.63
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,2.08
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,2.61
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,1.92
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,2.73
dcs:who/FINPROTECTION_IMP_NP365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,1.68
