SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2005,141.13
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2000,115.4
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2019,55.31
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2017,87.31
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2010,133.2
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:Earth,2015,103.22
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,18.64
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,0.71
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,1.08
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,0.93
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,3.1
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,6.61
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2000,37.97
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2005,64.84
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2017,54.39
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2010,71.63
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2019,37.97
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SouthEasternAsia,2015,63.93
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,17.74
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,17.22
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,9.77
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,16.02
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,14.97
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,11.77
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2010,18.34
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2019,11.51
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2005,23.47
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2017,13.83
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2000,22.46
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:africa,2015,16.44
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2010,111.57
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2017,72.38
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2000,73.84
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2015,85.58
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2005,110.73
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:asia,2019,42.79
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2019,0.18
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2000,0.35
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2005,0.15
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2017,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2015,0.02
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:europe,2010,0.05
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2000,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2015,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2010,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2017,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2005,0.0
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:northamerica,2019,0.08
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2005,0.16
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2019,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2017,0.06
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2000,0.06
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2015,0.05
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:oceania,2010,0.08
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2019,0.08
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2000,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2017,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2005,0.0
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2015,0.04
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2010,0.05
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2010,36.39
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2015,19.07
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2000,15.61
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2019,2.98
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2017,14.85
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2005,1.49
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2000,26.58
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2015,74.43
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2017,63.99
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2005,49.48
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2019,44.27
dcs:who/FINPROTECTION_IMP_NP_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2010,79.87
