SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2017,2.07
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2015,2.1
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2019,1.53
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2000,1.32
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2005,1.94
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:Earth,2010,1.99
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,0.5
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,1.51
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,0.89
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,0.62
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,1.22
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,0.56
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2005,2.84
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2000,1.45
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2019,3.58
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2017,4.09
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2015,3.93
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SouthEasternAsia,2010,3.09
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2019,1.11
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2017,1.16
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2010,1.58
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2015,1.47
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2000,1.13
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:SubSaharanAfrica,2005,1.69
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2010,1.96
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2019,1.68
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2015,1.87
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2005,2.56
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2000,1.71
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:africa,2017,1.62
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2005,2.41
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2000,1.5
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2017,2.94
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2019,1.99
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2015,2.92
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:asia,2010,2.67
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2019,0.04
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2017,0.09
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2010,0.04
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2000,0.41
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2005,0.1
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:europe,2015,0.04
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2017,0.01
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2015,0.01
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2019,0.02
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2010,0.0
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2005,0.0
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:northamerica,2000,0.01
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2005,0.37
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2015,0.26
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2000,0.3
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2017,0.31
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2019,0.23
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:oceania,2010,0.39
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2005,0.0
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2010,0.0
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2015,0.01
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2000,0.0
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2017,0.01
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100100,2019,0.02
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2000,0.81
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2010,1.94
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2017,1.68
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2015,1.83
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2019,0.53
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100400,2005,0.31
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100500,2000,1.45
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100500,2019,3.17
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100500,2005,2.25
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_SH,dcid:undata-geo/G00100500,2010,2.92
