SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2010,11.6
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2015,6.96
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2000,20.76
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2005,15.34
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2017,5.09
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:Earth,2019,3.87
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,2.22
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,0.97
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,3.44
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,0.7
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,0.9
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,6.91
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2015,10.49
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2000,30.51
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2017,6.77
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2010,19.82
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2005,26.05
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SouthEasternAsia,2019,5.06
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2000,47.07
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2010,30.28
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2017,17.62
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2019,14.3
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2015,23.08
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:SubSaharanAfrica,2005,33.46
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2000,38.14
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2017,14.57
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2010,24.83
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2005,27.69
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2019,12.09
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:africa,2015,18.95
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2005,18.34
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2015,6.34
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2000,24.87
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2019,2.86
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2010,12.69
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:asia,2017,4.35
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2005,0.09
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2017,0.04
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2019,0.17
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2000,0.36
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2010,0.04
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:europe,2015,0.02
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2010,0.01
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2017,0.04
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2005,0.02
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2015,0.02
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2019,0.04
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:northamerica,2000,0.02
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2019,0.7
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2000,0.96
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2010,1.43
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2015,0.69
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2005,6.67
dcs:who/FINPROTECTION_IMP_P190_LEVEL_SH,dcid:oceania,2017,0.74
