SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2017,1188.91
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2000,2420.34
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2015,1443.97
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2005,2009.39
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2019,1014.19
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:Earth,2010,1844.07
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,33.6
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,36.88
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,22.65
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,51.88
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,29.82
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,60.13
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2019,398.87
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2005,874.42
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2000,928.33
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2015,593.84
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2010,861.62
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SouthEasternAsia,2017,432.39
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,380.28
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,443.44
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,347.97
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,399.54
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,407.65
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,418.37
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2019,388.52
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2015,475.71
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2010,436.39
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2000,459.86
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2017,448.27
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:africa,2005,432.46
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2017,715.01
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2005,1506.71
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2000,1892.0
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2015,935.37
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2010,1366.83
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:asia,2019,589.25
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2005,5.58
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2015,1.01
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2017,0.88
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2000,14.88
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2019,0.79
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:europe,2010,0.93
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2005,0.07
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2015,0.19
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2017,0.18
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2000,0.18
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2010,0.09
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:northamerica,2019,0.19
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2000,1.03
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2010,2.05
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2005,3.86
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2015,1.17
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2019,1.33
dcs:who/FINPROTECTION_IMP_P310_LEVEL_MILLION,dcid:oceania,2017,1.25
