SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,38.5
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AFG,2020,33.2
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,16.57
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AFG,2013,65.87
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AFG,2007,13.24
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AGO,2018,35.79
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,25.97
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,51.69
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AGO,2008,7.4
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,7.8
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,7.04
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,2017,2.14
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,2.02
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,2008,2.65
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,1.96
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,2.65
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,2012,1.99
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,2.66
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,3.69
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,7.01
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,2005,5.55
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,8.04
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,2002,9.09
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,0.46
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,9.85
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,4.2
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ALB,1996,2.9
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2021,4.39
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2019,6.15
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2020,15.95
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,4.55
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,5.35
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,6.06
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2016,5.12
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2017,6.41
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2015,4.11
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,3.33
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,4.09
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2014,4.38
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2013,4.54
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2013,4.51
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,4.45
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,4.85
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2012,5.29
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2012,4.5
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2012,5.0
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2011,6.96
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2011,8.11
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2010,5.49
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2011,4.92
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2010,6.78
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2009,4.71
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2009,2.96
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,7.52
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2009,4.09
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2008,2.06
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2007,3.86
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2008,1.29
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2008,2.49
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2007,3.87
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2007,3.88
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2006,2.34
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2006,4.24
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2006,3.54
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2005,6.33
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2004,10.38
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2003,10.72
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2005,6.02
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2005,6.5
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2002,12.54
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,2001,12.31
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2003,8.53
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2003,13.88
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/ARM,1999,15.67
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AUS,2009,0.01
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AUS,2009,0.02
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AUS,2009,0.03
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AUT,1999,0.0
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AZE,2005,0.22
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2005,0.09
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2005,0.34
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2004,0.27
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2004,0.1
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AZE,2004,0.19
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2002,0.8
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2003,1.66
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2003,0.46
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AZE,2003,1.1
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/AZE,2002,0.85
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2002,0.9
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BDI,2013,71.68
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,2013,44.14
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2013,74.72
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,2006,48.6
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2006,91.96
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BDI,2006,89.48
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,1998,85.84
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,1998,36.53
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BDI,1998,83.31
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BEL,2009,0.0
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2018,30.97
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2018,46.85
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BEN,2018,39.78
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BEN,2015,63.33
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2015,76.09
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2015,48.03
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2011,52.72
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BEN,2003,72.19
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BEN,2011,70.16
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2003,60.42
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2003,78.89
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2011,82.74
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BFA,2018,52.36
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BFA,2018,44.95
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BFA,2018,23.48
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BFA,2014,78.79
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BFA,2014,44.53
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BFA,2009,55.92
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BFA,2009,78.94
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BFA,2009,73.63
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BFA,2014,88.38
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BFA,2003,26.65
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BFA,2003,23.36
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BFA,2003,27.39
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BFA,1998,24.3
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BFA,1998,28.08
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BFA,1998,27.45
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BGD,2010,31.29
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BGD,2016,19.54
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2016,37.58
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BGD,2016,32.66
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--URB,dcid:country/BGD,2010,15.06
dcs:who/FINPROTECTION_IMP_P365_POP,dcid:country/BGD,2005,39.38
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2010,37.08
dcs:who/FINPROTECTION_IMP_P365_POP.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2005,43.93
