SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2005,661.42
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2019,1121.22
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2017,1043.2
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2010,864.1
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2015,1009.77
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:Earth,2000,636.86
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,101.33
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,71.51
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,89.26
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,93.68
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,70.88
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,96.1
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2019,192.46
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2000,92.91
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2017,136.94
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2005,104.01
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2010,129.95
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SouthEasternAsia,2015,141.02
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,156.26
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,145.6
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,102.65
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,154.75
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,124.82
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,86.91
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:africa,2017,189.8
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_MILLION,dcid:africa,2000,105.81
