SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2019,14.47
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2015,13.63
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2017,13.76
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2000,10.36
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2005,10.09
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:Earth,2010,12.39
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,15.05
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,15.13
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,12.82
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,13.57
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,15.14
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,15.68
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2000,5.88
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2010,7.12
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2017,6.91
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2019,9.52
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2015,7.28
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SouthEasternAsia,2005,6.08
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2019,14.32
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2015,14.97
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2000,13.44
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2005,13.88
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2010,14.72
dcs:who/FINPROTECTION_IMP_PREL_LEVEL_SH,dcid:SubSaharanAfrica,2017,15.24
