SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2005,2047.17
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2019,1059.07
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2017,1238.37
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2000,2358.44
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2010,1889.94
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:Earth,2015,1487.81
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,54.47
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,61.0
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,40.93
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,42.16
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,33.5
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,26.93
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2017,456.6
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2019,412.21
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2015,609.46
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2010,881.07
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2000,921.89
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SouthEasternAsia,2005,890.06
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,391.13
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,370.45
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,341.44
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,383.34
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,380.76
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,422.45
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2019,389.76
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2000,428.53
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2017,425.51
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2010,419.85
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2005,423.08
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:africa,2015,459.0
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2019,624.0
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2000,1850.63
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2017,782.63
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2005,1552.36
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2015,992.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:asia,2010,1425.25
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2005,6.2
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2010,1.1
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2000,22.99
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2019,0.57
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2015,0.89
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:europe,2017,1.25
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2005,0.08
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2019,0.19
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2017,0.18
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2000,0.18
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2010,0.09
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:northamerica,2015,0.19
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2019,1.86
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2010,1.85
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2000,1.15
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2017,1.23
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2015,1.24
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:oceania,2005,3.85
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2000,0.18
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2015,0.39
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2010,0.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2017,0.3
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2005,0.1
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100100,2019,0.35
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2015,273.3
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2017,215.04
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2005,30.3
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2010,407.4
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2000,37.5
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100400,2019,139.77
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2015,917.27
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2000,782.69
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2010,1122.84
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2017,744.87
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2019,684.78
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100500,2005,741.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2015,296.31
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2010,354.4
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2005,1270.78
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2019,233.67
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2000,1533.68
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00100600,2017,277.69
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2015,49.92
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2019,70.89
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2005,63.31
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2010,54.55
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2017,58.07
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00103000,2000,58.9
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2010,850.55
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2019,474.72
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2000,902.0
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2017,452.09
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2005,831.68
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00116000,2015,607.58
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2017,10.09
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2005,19.25
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2010,14.26
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2019,10.03
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2000,39.47
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00117000,2015,10.12
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2019,147.79
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2015,152.99
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2010,155.16
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2005,177.43
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2017,150.39
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00121000,2000,205.85
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2000,935.41
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2015,371.83
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2017,307.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2005,710.6
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2010,559.79
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_MILLION,dcid:undata-geo/G00122000,2019,127.15
