SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GDO_q2x3x1_1,dcid:country/AUS,2017,25.0
dcs:who/GDO_q2x3x1_1,dcid:country/AUT,2017,65.0
dcs:who/GDO_q2x3x1_1,dcid:country/BEL,2017,57.0
dcs:who/GDO_q2x3x1_1,dcid:country/CAN,2017,50.0
dcs:who/GDO_q2x3x1_1,dcid:country/CHE,2017,70.0
dcs:who/GDO_q2x3x1_1,dcid:country/DEU,2017,25.0
dcs:who/GDO_q2x3x1_1,dcid:country/DNK,2017,65.0
dcs:who/GDO_q2x3x1_1,dcid:country/FIN,2017,100.0
dcs:who/GDO_q2x3x1_1,dcid:country/FRA,2017,100.0
dcs:who/GDO_q2x3x1_1,dcid:country/GBR,2017,75.0
dcs:who/GDO_q2x3x1_1,dcid:country/ITA,2017,62.0
dcs:who/GDO_q2x3x1_1,dcid:country/JPN,2017,100.0
dcs:who/GDO_q2x3x1_1,dcid:country/KOR,2017,100.0
dcs:who/GDO_q2x3x1_1,dcid:country/SGP,2017,100.0
dcs:who/GDO_q2x3x1_1,dcid:country/SWE,2017,80.0
dcs:who/GDO_q2x3x1_1,dcid:country/THA,2017,19.5
dcs:who/GDO_q2x3x1_1,dcid:country/USA,2017,98.0
