SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2017,6.56
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2021,7.33
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2019,6.54
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2018,6.45
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2020,7.24
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2013,6.32
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2009,6.45
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2016,6.58
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2011,6.25
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2012,6.21
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2014,6.4
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2010,6.29
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2008,6.06
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2015,6.51
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2001,5.76
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2006,6.11
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2005,5.95
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2003,5.77
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2002,5.74
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2007,5.97
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2004,5.88
dcs:who/GHED_CHEGDP_SHA2011,dcid:Earth,2000,5.48
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2021,5.49
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2020,5.29
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2019,4.22
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2018,4.2
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2017,4.46
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2016,4.78
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2015,4.74
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2014,4.46
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2012,4.16
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2013,4.43
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2011,4.03
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2010,4.03
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2009,4.3
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2008,4.32
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2007,3.93
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2006,3.96
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2005,3.99
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2004,3.8
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2003,3.51
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2002,3.94
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2000,3.58
dcs:who/GHED_CHEGDP_SHA2011,dcid:SouthEasternAsia,2001,3.82
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2021,5.76
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2020,5.91
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2019,5.32
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2018,5.34
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2017,5.56
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2016,5.5
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2014,5.46
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2015,5.5
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2013,5.3
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2012,5.1
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2011,5.24
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2010,5.31
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2008,4.94
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2009,5.3
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2007,5.0
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2005,5.09
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2006,5.1
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2004,5.1
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2003,4.91
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2002,4.73
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2001,4.59
dcs:who/GHED_CHEGDP_SHA2011,dcid:africa,2000,4.37
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2021,21.83
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2020,15.53
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2019,14.83
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2018,14.21
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2017,12.62
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2013,8.81
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2014,9.53
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2015,10.11
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2012,7.9
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2016,11.82
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2010,8.57
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2011,8.56
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2009,9.82
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2007,9.9
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2008,10.26
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2005,9.95
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2006,10.62
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2004,9.81
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2003,8.94
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AFG,2002,9.44
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2019,2.48
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2018,2.59
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2021,2.96
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2020,3.22
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2013,2.73
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2015,2.61
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2017,2.79
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2014,2.43
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2016,2.71
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2008,3.32
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2009,3.84
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2010,2.7
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2011,2.65
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2012,2.4
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2005,2.85
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2006,2.69
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2004,3.97
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2007,2.97
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2003,3.55
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2000,1.91
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2002,3.33
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AGO,2001,4.48
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2021,7.27
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2017,6.58
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2020,7.52
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2016,6.73
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2019,6.86
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2018,6.67
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2015,6.46
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2011,6.18
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2013,6.28
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2014,6.43
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2012,6.16
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2009,5.83
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2010,6.24
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2008,5.51
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2007,5.93
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2005,5.73
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2003,5.91
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2006,5.63
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2004,5.89
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2002,5.66
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2000,5.94
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ALB,2001,5.93
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2020,8.79
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2021,8.33
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2018,7.38
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2019,7.32
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2017,7.07
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2012,6.71
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2013,6.8
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2011,7.62
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2014,6.77
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2016,6.91
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2015,6.92
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2006,4.97
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2004,5.29
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2005,5.59
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2010,7.68
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2008,5.67
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2009,6.08
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2007,4.92
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2003,5.55
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2000,5.95
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2001,5.86
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/AND,2002,6.0
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2020,5.82
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2021,5.31
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2015,3.47
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2016,3.9
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2017,4.01
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2019,4.39
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2018,4.1
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2010,3.88
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2012,3.34
dcs:who/GHED_CHEGDP_SHA2011,dcid:country/ARE,2013,3.5
