SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2021,1383.08
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2020,1225.34
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2019,1168.61
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2017,1108.5
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2018,1164.83
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2015,1035.39
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2013,1115.08
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2014,1141.78
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2016,1061.67
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2012,1071.47
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2011,1093.91
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2010,999.0
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2009,975.84
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2008,997.22
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2003,594.78
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2005,733.71
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2001,461.59
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2006,791.82
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2004,683.09
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2000,446.21
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2007,890.49
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:Earth,2002,496.5
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:SouthEasternAsia,2021,224.78
dcs:who/GHED_CHE_pc_US_SHA2011,dcid:SouthEasternAsia,2020,192.14
