SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2020,19.82
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2021,28.33
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2019,17.77
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2017,18.9
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2018,17.64
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2009,19.63
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2015,19.07
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2011,18.06
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2012,18.79
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2008,19.15
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2014,20.06
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2010,18.19
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2016,16.67
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2013,19.63
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2005,13.57
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2000,5.4
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2003,7.11
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2002,6.5
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2001,5.59
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2004,11.31
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2006,15.83
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:Earth,2007,18.52
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2021,23.39
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2020,8.38
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2018,5.6
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2019,7.04
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2017,5.59
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2016,6.17
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2015,5.78
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2014,6.22
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2012,4.74
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2013,6.91
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2011,4.68
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2010,4.01
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2009,4.12
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2008,3.96
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2007,4.06
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2006,3.72
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2005,2.28
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2003,1.25
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2004,2.0
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2002,1.1
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2000,0.71
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:SouthEasternAsia,2001,1.35
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2021,17.22
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2019,14.12
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2020,14.18
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2018,14.81
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2017,13.67
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2016,13.64
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2015,14.47
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2014,16.98
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2013,17.53
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2011,17.49
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2012,15.79
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2010,14.83
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2009,13.6
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2008,13.38
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2007,12.0
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2005,9.93
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2006,11.53
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2004,7.72
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2002,4.19
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2003,5.5
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2001,3.67
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:africa,2000,3.61
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2021,15.73
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2016,11.65
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2020,12.95
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2017,12.99
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2018,14.08
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2019,14.72
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2012,11.14
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2015,9.88
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2014,13.23
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2013,12.9
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2009,9.43
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2011,11.07
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2010,7.23
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2007,5.29
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2008,7.38
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2006,5.35
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2005,3.94
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2004,2.13
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2002,2.34
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AFG,2003,1.18
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2020,3.04
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2021,3.11
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2018,2.86
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2019,2.55
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2012,2.65
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2015,2.87
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2013,3.67
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2016,3.43
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2014,4.14
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2017,3.52
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2010,3.14
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2009,4.59
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2008,3.38
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2011,3.49
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2006,4.09
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2004,0.96
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2005,1.65
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2007,2.5
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2002,0.37
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2003,0.36
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2001,0.41
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/AGO,2000,0.07
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2021,2.53
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2016,1.83
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2019,2.44
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2020,2.68
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2018,1.48
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2017,1.64
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2014,1.49
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2015,1.96
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2012,4.99
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2011,3.73
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2013,3.43
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2010,4.79
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2008,4.82
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2007,8.97
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2009,7.12
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2006,6.88
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2001,3.25
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2002,2.72
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2005,5.75
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2004,5.24
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2003,5.22
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ALB,2000,1.08
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ARE,2020,0.0
dcs:who/GHED_EXT_pc_US_SHA2011,dcid:country/ARE,2021,0.0
