SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2017,52.11
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2019,52.49
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2020,54.68
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2021,53.66
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2018,52.36
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2015,51.32
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2016,52.15
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2013,50.8
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2010,50.36
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2009,50.22
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2011,50.69
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2012,50.78
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2008,49.69
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2014,51.29
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2003,49.96
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2000,51.23
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2001,50.84
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2007,49.42
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2002,49.98
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2006,48.95
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2004,49.18
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:Earth,2005,49.18
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2021,47.19
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2020,48.73
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2019,47.09
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2018,47.75
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2017,46.28
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2016,43.6
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2015,43.98
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2014,42.27
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2012,40.48
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2013,40.09
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2011,39.34
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2010,38.85
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2009,39.94
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2008,39.78
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2007,36.09
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2006,36.63
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2005,35.14
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2004,35.72
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2003,37.23
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2002,36.41
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2000,36.53
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:SouthEasternAsia,2001,34.94
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2021,34.41
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2020,35.19
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2019,32.63
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2018,32.28
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2017,33.08
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2016,32.73
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2015,32.06
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2014,32.58
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2013,31.74
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2011,31.1
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2012,32.28
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2010,30.9
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2009,29.72
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2008,30.44
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2007,30.72
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2006,29.62
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2005,30.79
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2004,31.53
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2003,32.64
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2002,31.82
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2001,33.3
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:africa,2000,33.52
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2021,3.3
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2020,7.64
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2017,5.1
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2019,3.35
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2018,3.89
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2016,5.08
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2015,5.17
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2014,4.96
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2013,5.03
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2012,4.34
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2007,5.65
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2011,5.61
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2010,5.47
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2009,5.42
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2008,6.12
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2004,5.54
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2005,5.32
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2006,4.69
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2002,0.89
dcs:who/GHED_GGHE-DCHE_SHA2011,dcid:country/AFG,2003,7.28
