SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2021,11.22
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2020,10.69
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2017,10.46
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2019,10.48
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2018,10.37
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2009,9.55
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2016,10.45
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2012,9.69
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2015,10.06
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2007,9.66
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2014,10.05
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2008,9.45
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2013,9.76
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2010,9.62
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2011,9.71
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2004,9.81
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2000,9.57
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2003,9.73
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2001,9.55
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2002,9.55
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2006,9.79
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:Earth,2005,9.72
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:SouthEasternAsia,2021,8.35
dcs:who/GHED_GGHE-DGGE_SHA2011,dcid:SouthEasternAsia,2020,8.23
