SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2017,753.25
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2021,980.53
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2020,867.68
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2019,800.38
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2018,796.58
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2015,699.48
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2010,683.9
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2008,679.95
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2007,603.04
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2011,750.1
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2009,667.39
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2016,723.2
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2012,729.86
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2013,758.43
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2014,779.16
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2000,296.69
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2005,496.73
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2004,462.92
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2002,333.31
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2001,309.36
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2006,536.65
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:Earth,2003,403.79
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2021,139.66
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2020,125.78
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2018,112.44
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2019,119.13
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2017,113.68
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2015,102.34
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2016,115.49
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2014,84.19
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2012,67.37
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2013,74.61
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2011,61.28
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2010,61.21
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2009,64.87
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2008,68.22
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2006,32.44
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2007,43.73
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2005,26.16
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2004,23.13
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2003,19.86
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2002,20.01
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2000,18.67
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:SouthEasternAsia,2001,18.58
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2021,65.09
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2020,60.67
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2019,60.32
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2017,59.9
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2018,60.47
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2016,54.67
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2015,53.84
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2014,60.43
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2013,59.68
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2011,55.87
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2012,59.52
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2010,50.23
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2008,42.59
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2009,42.09
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2007,41.12
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2006,36.93
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2005,34.98
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2004,33.59
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2003,29.25
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2002,22.37
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2001,21.83
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:africa,2000,21.89
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2021,2.69
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2018,2.77
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2019,2.49
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2016,3.12
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2017,3.41
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2020,6.13
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2013,2.83
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2012,2.28
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2015,3.11
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2014,2.99
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2008,2.45
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2011,2.94
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2007,1.85
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2010,2.55
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2009,2.34
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2006,1.36
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2004,1.19
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2003,1.3
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2005,1.34
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AFG,2002,0.15
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2021,37.09
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2018,35.78
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2019,29.35
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2020,29.06
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2017,52.23
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2013,88.63
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2014,70.8
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2016,41.54
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2012,79.48
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2015,50.99
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2008,87.28
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2011,78.95
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2009,81.23
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2007,53.75
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2010,60.04
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2006,37.52
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2004,21.16
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2003,14.4
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2005,24.31
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2002,11.42
dcs:who/GHED_GGHE-D_pc_US_SHA2011,dcid:country/AGO,2000,7.57
