SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2017,31.38
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2018,31.28
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2020,28.86
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2019,30.93
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2021,28.16
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2011,32.64
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2009,33.22
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2007,34.56
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2008,34.12
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2012,32.63
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2010,33.07
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2016,31.56
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2015,31.84
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2013,32.3
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2014,31.69
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2001,36.42
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2002,36.47
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2000,36.89
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2004,35.85
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2003,36.25
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2005,35.47
dcs:who/GHED_OOPSCHE_SHA2011,dcid:Earth,2006,34.82
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2021,36.35
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2020,38.18
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2018,39.38
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2019,39.65
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2017,39.82
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2015,41.77
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2016,41.32
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2014,42.78
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2012,44.52
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2013,44.64
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2011,45.25
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2009,45.27
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2010,46.66
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2008,45.59
dcs:who/GHED_OOPSCHE_SHA2011,dcid:SouthEasternAsia,2006,45.41
