SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2016,208.24
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2018,225.48
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2019,223.3
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2021,236.31
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2017,216.32
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2020,214.97
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2015,204.45
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2011,213.6
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2012,211.39
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2008,201.44
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2007,179.81
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2010,195.65
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2013,219.97
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2009,191.23
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2014,223.79
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2000,97.76
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2001,98.88
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2004,140.31
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2002,105.52
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2005,150.53
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2006,160.2
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:Earth,2003,123.06
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2021,48.75
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2020,46.96
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2018,46.06
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2019,46.31
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2017,48.92
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2016,49.37
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2015,46.11
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2014,48.33
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2012,46.82
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2013,49.28
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2011,48.44
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2009,41.96
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2010,47.15
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2008,42.84
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2006,32.56
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2007,37.28
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2005,31.05
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2003,22.47
dcs:who/GHED_OOP_pc_US_SHA2011,dcid:SouthEasternAsia,2004,28.72
