SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_DALYNUM.GHECAUSES--GHE157__SEX--F,dcid:Earth,2000,7497663.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE152__SEX--F,dcid:Earth,2000,76854120.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE159__SEX--F,dcid:Earth,2000,18112348.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE160__SEX--F,dcid:Earth,2000,21549618.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE153__SEX--F,dcid:Earth,2000,21526352.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE162__SEX--F,dcid:Earth,2000,6200530.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE151__SEX--F,dcid:Earth,2000,98403744.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE156__SEX--F,dcid:Earth,2000,8384264.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE161__SEX--F,dcid:Earth,2000,14240896.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE148__SEX--F,dcid:Earth,2000,2558039.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE155__SEX--F,dcid:Earth,2000,16985426.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE163__SEX--F,dcid:Earth,2000,1108191.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE154__SEX--F,dcid:Earth,2000,4237553.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE125__SEX--F,dcid:Earth,2000,13719734.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE138__SEX--F,dcid:Earth,2000,26353976.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE126__SEX--F,dcid:Earth,2000,29400668.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE134__SEX--F,dcid:Earth,2000,64730208.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE147__SEX--F,dcid:Earth,2000,8145778.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE139__SEX--F,dcid:Earth,2000,22659650.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE129__SEX--F,dcid:Earth,2000,612864.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE135__SEX--F,dcid:Earth,2000,4110553.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE136__SEX--F,dcid:Earth,2000,11578128.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE124__SEX--F,dcid:Earth,2000,854267.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE127__SEX--F,dcid:Earth,2000,13991633.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE130__SEX--F,dcid:Earth,2000,3636734.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE144__SEX--F,dcid:Earth,2000,9102190.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE132__SEX--F,dcid:Earth,2000,10555569.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE140__SEX--F,dcid:Earth,2000,24682900.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE146__SEX--F,dcid:Earth,2000,8139660.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE133__SEX--F,dcid:Earth,2000,9880137.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE121__SEX--F,dcid:Earth,2000,29313460.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE116__SEX--F,dcid:Earth,2000,18069460.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE117__SEX--F,dcid:Earth,2000,60384468.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE119__SEX--F,dcid:Earth,2000,11803813.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE122__SEX--F,dcid:Earth,2000,3335654.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE123__SEX--F,dcid:Earth,2000,11403807.0
dcs:who/GHE_DALYNUM.GHECAUSES--GHE120__SEX--F,dcid:Earth,2000,8393851.0
