SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_DALYRATE.GHECAUSES--GHE160__SEX--F,dcid:Earth,2012,614.09998
dcs:who/GHE_DALYRATE.GHECAUSES--GHE162__SEX--F,dcid:Earth,2012,176.7
dcs:who/GHE_DALYRATE.GHECAUSES--GHE163__SEX--F,dcid:Earth,2012,31.6
dcs:who/GHE_DALYRATE.GHECAUSES--GHE161__SEX--F,dcid:Earth,2012,405.79999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE158__SEX--F,dcid:Earth,2012,3.1
dcs:who/GHE_DALYRATE.GHECAUSES--GHE157__SEX--F,dcid:Earth,2012,213.7
dcs:who/GHE_DALYRATE.GHECAUSES--GHE159__SEX--F,dcid:Earth,2012,516.20001
dcs:who/GHE_DALYRATE.GHECAUSES--GHE154__SEX--F,dcid:Earth,2012,120.8
dcs:who/GHE_DALYRATE.GHECAUSES--GHE155__SEX--F,dcid:Earth,2012,484.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE156__SEX--F,dcid:Earth,2012,238.89999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE151__SEX--F,dcid:Earth,2012,2804.30005
dcs:who/GHE_DALYRATE.GHECAUSES--GHE150__SEX--F,dcid:Earth,2012,80.8
dcs:who/GHE_DALYRATE.GHECAUSES--GHE145__SEX--F,dcid:Earth,2012,42.4
dcs:who/GHE_DALYRATE.GHECAUSES--GHE153__SEX--F,dcid:Earth,2012,613.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE146__SEX--F,dcid:Earth,2012,232.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE149__SEX--F,dcid:Earth,2012,78.4
dcs:who/GHE_DALYRATE.GHECAUSES--GHE144__SEX--F,dcid:Earth,2012,259.39999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE147__SEX--F,dcid:Earth,2012,232.10001
dcs:who/GHE_DALYRATE.GHECAUSES--GHE148__SEX--F,dcid:Earth,2012,72.9
dcs:who/GHE_DALYRATE.GHECAUSES--GHE152__SEX--F,dcid:Earth,2012,2190.19995
dcs:who/GHE_DALYRATE.GHECAUSES--GHE136__SEX--F,dcid:Earth,2012,330.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE141__SEX--F,dcid:Earth,2012,122.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE140__SEX--F,dcid:Earth,2012,703.40002
dcs:who/GHE_DALYRATE.GHECAUSES--GHE142__SEX--F,dcid:Earth,2012,6.7
dcs:who/GHE_DALYRATE.GHECAUSES--GHE143__SEX--F,dcid:Earth,2012,40.4
dcs:who/GHE_DALYRATE.GHECAUSES--GHE139__SEX--F,dcid:Earth,2012,645.79999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE137__SEX--F,dcid:Earth,2012,0.8
dcs:who/GHE_DALYRATE.GHECAUSES--GHE138__SEX--F,dcid:Earth,2012,751.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE135__SEX--F,dcid:Earth,2012,117.1
dcs:who/GHE_DALYRATE.GHECAUSES--GHE133__SEX--F,dcid:Earth,2012,281.60001
dcs:who/GHE_DALYRATE.GHECAUSES--GHE134__SEX--F,dcid:Earth,2012,1844.69995
dcs:who/GHE_DALYRATE.GHECAUSES--GHE132__SEX--F,dcid:Earth,2012,300.79999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE130__SEX--F,dcid:Earth,2012,103.6
dcs:who/GHE_DALYRATE.GHECAUSES--GHE129__SEX--F,dcid:Earth,2012,17.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE128__SEX--F,dcid:Earth,2012,0.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE125__SEX--F,dcid:Earth,2012,391.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE124__SEX--F,dcid:Earth,2012,24.3
dcs:who/GHE_DALYRATE.GHECAUSES--GHE131__SEX--F,dcid:Earth,2012,17.2
dcs:who/GHE_DALYRATE.GHECAUSES--GHE126__SEX--F,dcid:Earth,2012,837.90002
dcs:who/GHE_DALYRATE.GHECAUSES--GHE123__SEX--F,dcid:Earth,2012,325.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE127__SEX--F,dcid:Earth,2012,398.70001
dcs:who/GHE_DALYRATE.GHECAUSES--GHE121__SEX--F,dcid:Earth,2012,835.40002
dcs:who/GHE_DALYRATE.GHECAUSES--GHE117__SEX--F,dcid:Earth,2012,1720.80005
dcs:who/GHE_DALYRATE.GHECAUSES--GHE118__SEX--F,dcid:Earth,2012,1145.19995
dcs:who/GHE_DALYRATE.GHECAUSES--GHE119__SEX--F,dcid:Earth,2012,336.39999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE116__SEX--F,dcid:Earth,2012,514.90002
dcs:who/GHE_DALYRATE.GHECAUSES--GHE120__SEX--F,dcid:Earth,2012,239.2
dcs:who/GHE_DALYRATE.GHECAUSES--GHE115__SEX--F,dcid:Earth,2012,156.39999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE122__SEX--F,dcid:Earth,2012,95.1
dcs:who/GHE_DALYRATE.GHECAUSES--GHE112__SEX--F,dcid:Earth,2012,345.79999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE113__SEX--F,dcid:Earth,2012,1913.30005
dcs:who/GHE_DALYRATE.GHECAUSES--GHE107__SEX--F,dcid:Earth,2012,115.7
dcs:who/GHE_DALYRATE.GHECAUSES--GHE114__SEX--F,dcid:Earth,2012,1949.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE109__SEX--F,dcid:Earth,2012,2.3
dcs:who/GHE_DALYRATE.GHECAUSES--GHE108__SEX--F,dcid:Earth,2012,278.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE111__SEX--F,dcid:Earth,2012,183.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE110__SEX--F,dcid:Earth,2012,5062.8999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE105__SEX--F,dcid:Earth,2012,218.8
dcs:who/GHE_DALYRATE.GHECAUSES--GHE101__SEX--F,dcid:Earth,2012,245.7
dcs:who/GHE_DALYRATE.GHECAUSES--GHE096__SEX--F,dcid:Earth,2012,31.6
dcs:who/GHE_DALYRATE.GHECAUSES--GHE104__SEX--F,dcid:Earth,2012,125.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE103__SEX--F,dcid:Earth,2012,21.4
dcs:who/GHE_DALYRATE.GHECAUSES--GHE097__SEX--F,dcid:Earth,2012,271.39999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE095__SEX--F,dcid:Earth,2012,324.10001
dcs:who/GHE_DALYRATE.GHECAUSES--GHE098__SEX--F,dcid:Earth,2012,20.9
dcs:who/GHE_DALYRATE.GHECAUSES--GHE102__SEX--F,dcid:Earth,2012,788.0
dcs:who/GHE_DALYRATE.GHECAUSES--GHE094__SEX--F,dcid:Earth,2012,1256.40002
dcs:who/GHE_DALYRATE.GHECAUSES--GHE099__SEX--F,dcid:Earth,2012,334.39999
dcs:who/GHE_DALYRATE.GHECAUSES--GHE100__SEX--F,dcid:Earth,2012,28.3
dcs:who/GHE_DALYRATE.GHECAUSES--GHE106__SEX--F,dcid:Earth,2012,26.4
dcs:who/GHE_DALYRATE.GHECAUSES--GHE089__SEX--F,dcid:Earth,2012,60.5
dcs:who/GHE_DALYRATE.GHECAUSES--GHE084__SEX--F,dcid:Earth,2012,204.2
