SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_YLLRATE.GHECAUSES--GHE161__SEX--F,dcid:Earth,2012,401.68201
dcs:who/GHE_YLLRATE.GHECAUSES--GHE152__SEX--F,dcid:Earth,2012,1712.85425
dcs:who/GHE_YLLRATE.GHECAUSES--GHE160__SEX--F,dcid:Earth,2012,600.25183
dcs:who/GHE_YLLRATE.GHECAUSES--GHE153__SEX--F,dcid:Earth,2012,482.65726
dcs:who/GHE_YLLRATE.GHECAUSES--GHE156__SEX--F,dcid:Earth,2012,223.26895
dcs:who/GHE_YLLRATE.GHECAUSES--GHE155__SEX--F,dcid:Earth,2012,237.16063
dcs:who/GHE_YLLRATE.GHECAUSES--GHE163__SEX--F,dcid:Earth,2012,31.46927
dcs:who/GHE_YLLRATE.GHECAUSES--GHE157__SEX--F,dcid:Earth,2012,210.94901
dcs:who/GHE_YLLRATE.GHECAUSES--GHE159__SEX--F,dcid:Earth,2012,440.84781
dcs:who/GHE_YLLRATE.GHECAUSES--GHE162__SEX--F,dcid:Earth,2012,167.10052
dcs:who/GHE_YLLRATE.GHECAUSES--GHE154__SEX--F,dcid:Earth,2012,116.58331
dcs:who/GHE_YLLRATE.GHECAUSES--GHE147__SEX--F,dcid:Earth,2012,0.53972
dcs:who/GHE_YLLRATE.GHECAUSES--GHE151__SEX--F,dcid:Earth,2012,2313.1062
dcs:who/GHE_YLLRATE.GHECAUSES--GHE129__SEX--F,dcid:Earth,2012,9.35605
dcs:who/GHE_YLLRATE.GHECAUSES--GHE138__SEX--F,dcid:Earth,2012,0.78315
dcs:who/GHE_YLLRATE.GHECAUSES--GHE132__SEX--F,dcid:Earth,2012,9.35956
dcs:who/GHE_YLLRATE.GHECAUSES--GHE126__SEX--F,dcid:Earth,2012,450.3588
dcs:who/GHE_YLLRATE.GHECAUSES--GHE125__SEX--F,dcid:Earth,2012,317.95688
dcs:who/GHE_YLLRATE.GHECAUSES--GHE146__SEX--F,dcid:Earth,2012,212.12138
dcs:who/GHE_YLLRATE.GHECAUSES--GHE133__SEX--F,dcid:Earth,2012,47.76743
dcs:who/GHE_YLLRATE.GHECAUSES--GHE127__SEX--F,dcid:Earth,2012,335.21533
dcs:who/GHE_YLLRATE.GHECAUSES--GHE136__SEX--F,dcid:Earth,2012,0.92926
dcs:who/GHE_YLLRATE.GHECAUSES--GHE139__SEX--F,dcid:Earth,2012,81.58388
dcs:who/GHE_YLLRATE.GHECAUSES--GHE144__SEX--F,dcid:Earth,2012,251.58908
dcs:who/GHE_YLLRATE.GHECAUSES--GHE134__SEX--F,dcid:Earth,2012,111.61258
dcs:who/GHE_YLLRATE.GHECAUSES--GHE130__SEX--F,dcid:Earth,2012,96.41678
dcs:who/GHE_YLLRATE.GHECAUSES--GHE135__SEX--F,dcid:Earth,2012,28.26767
dcs:who/GHE_YLLRATE.GHECAUSES--GHE140__SEX--F,dcid:Earth,2012,631.79272
dcs:who/GHE_YLLRATE.GHECAUSES--GHE124__SEX--F,dcid:Earth,2012,22.0446
dcs:who/GHE_YLLRATE.GHECAUSES--GHE148__SEX--F,dcid:Earth,2012,0.3644
dcs:who/GHE_YLLRATE.GHECAUSES--GHE115__SEX--F,dcid:Earth,2012,150.62794
dcs:who/GHE_YLLRATE.GHECAUSES--GHE116__SEX--F,dcid:Earth,2012,410.31009
dcs:who/GHE_YLLRATE.GHECAUSES--GHE097__SEX--F,dcid:Earth,2012,147.77219
dcs:who/GHE_YLLRATE.GHECAUSES--GHE120__SEX--F,dcid:Earth,2012,154.7097
dcs:who/GHE_YLLRATE.GHECAUSES--GHE123__SEX--F,dcid:Earth,2012,317.89432
dcs:who/GHE_YLLRATE.GHECAUSES--GHE121__SEX--F,dcid:Earth,2012,749.18762
dcs:who/GHE_YLLRATE.GHECAUSES--GHE114__SEX--F,dcid:Earth,2012,1885.66016
