SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GLASSAMC_TC,dcid:country/ARM,2019,12.56363
dcs:who/GLASSAMC_TC,dcid:country/ARM,2018,13.26515
dcs:who/GLASSAMC_TC,dcid:country/ARM,2020,19.19027
dcs:who/GLASSAMC_TC,dcid:country/ARM,2017,13.16802
dcs:who/GLASSAMC_TC,dcid:country/ARM,2021,15.1213
dcs:who/GLASSAMC_TC,dcid:country/ARM,2016,10.15287
dcs:who/GLASSAMC_TC,dcid:country/AUT,2019,12.11773
dcs:who/GLASSAMC_TC,dcid:country/AUT,2017,12.0273
dcs:who/GLASSAMC_TC,dcid:country/AUT,2020,9.28854
dcs:who/GLASSAMC_TC,dcid:country/AUT,2021,9.39234
dcs:who/GLASSAMC_TC,dcid:country/AUT,2018,10.82944
dcs:who/GLASSAMC_TC,dcid:country/AUT,2016,11.52242
dcs:who/GLASSAMC_TC,dcid:country/BEL,2021,17.60908
dcs:who/GLASSAMC_TC,dcid:country/BEL,2019,21.56894
dcs:who/GLASSAMC_TC,dcid:country/BEL,2016,24.45561
dcs:who/GLASSAMC_TC,dcid:country/BEL,2017,22.97959
dcs:who/GLASSAMC_TC,dcid:country/BEL,2020,16.86606
dcs:who/GLASSAMC_TC,dcid:country/BEL,2018,22.4779
dcs:who/GLASSAMC_TC,dcid:country/BEN,2017,28.34547
dcs:who/GLASSAMC_TC,dcid:country/BEN,2016,22.29951
dcs:who/GLASSAMC_TC,dcid:country/BEN,2019,18.56669
dcs:who/GLASSAMC_TC,dcid:country/BEN,2021,21.00312
dcs:who/GLASSAMC_TC,dcid:country/BEN,2018,23.93747
dcs:who/GLASSAMC_TC,dcid:country/BEN,2020,14.5182
dcs:who/GLASSAMC_TC,dcid:country/BFA,2017,19.79017
dcs:who/GLASSAMC_TC,dcid:country/BFA,2018,21.3328
dcs:who/GLASSAMC_TC,dcid:country/BGD,2018,19.9086
dcs:who/GLASSAMC_TC,dcid:country/BGD,2019,24.53799
dcs:who/GLASSAMC_TC,dcid:country/BGD,2016,23.98821
dcs:who/GLASSAMC_TC,dcid:country/BGD,2020,25.12488
dcs:who/GLASSAMC_TC,dcid:country/BGD,2017,21.12581
dcs:who/GLASSAMC_TC,dcid:country/BLR,2018,19.28001
dcs:who/GLASSAMC_TC,dcid:country/BLR,2020,26.08078
dcs:who/GLASSAMC_TC,dcid:country/BLR,2017,20.33797
dcs:who/GLASSAMC_TC,dcid:country/BLR,2019,22.81453
dcs:who/GLASSAMC_TC,dcid:country/BLR,2021,19.86716
dcs:who/GLASSAMC_TC,dcid:country/BLR,2016,17.37993
