SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HCF_NO_ELECTRICITY,dcid:country/AFG,2022,5.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/BFA,2022,2.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/BGD,2017,1.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2017,32.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/BGD,2017,30.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/CAF,2022,50.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/CMR,2019,13.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ETH,2016,3.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ETH,2016,17.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/ETH,2016,12.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/HTI,2016,27.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/HTI,2016,7.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/HTI,2016,33.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/KEN,2018,15.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/KEN,2018,2.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/KEN,2018,11.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LBR,2018,11.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LBR,2018,7.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/LBR,2018,9.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LKA,2017,4.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/LKA,2017,4.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LKA,2017,2.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/MLI,2022,4.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/NER,2020,39.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NER,2015,78.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NER,2015,9.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NPL,2021,4.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NPL,2021,4.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/NPL,2021,4.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/RWA,2019,2.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SEN,2019,1.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SEN,2019,75.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/SEN,2019,14.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/SLB,2020,23.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SLE,2018,40.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SLE,2018,13.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/SLE,2018,31.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/SOM,2022,23.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/TCD,2019,38.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/TLS,2015,1.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/TZA,2016,19.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/TZA,2016,9.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/TZA,2016,24.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/UGA,2020,9.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/VUT,2017,11.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/YEM,2022,39.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ZWE,2015,0.0
dcs:who/HCF_NO_ELECTRICITY,dcid:country/ZWE,2015,11.0
dcs:who/HCF_NO_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ZWE,2015,14.0
