SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2017,50.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/BGD,2017,48.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ETH,2016,63.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ETH,2016,69.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/HTI,2016,50.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/HTI,2016,37.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/KEN,2018,35.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/KEN,2018,34.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LBR,2018,8.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LBR,2018,13.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LKA,2017,2.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LKA,2017,5.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NER,2015,36.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NER,2015,7.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NPL,2021,36.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NPL,2021,43.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SEN,2019,22.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SEN,2019,46.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SLE,2018,24.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SLE,2018,9.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/TZA,2016,16.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/TZA,2016,21.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ZWE,2015,50.0
dcs:who/HCF_UNREL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ZWE,2015,38.0
