SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2012,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2014,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2015,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2007,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2010,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2013,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2001,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2016,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2011,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2018,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2009,127.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2000,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2019,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2017,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2004,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2005,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2006,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2003,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2008,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:Earth,2002,126.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2000,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2011,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2008,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2009,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2015,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2005,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2010,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2019,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2003,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2016,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2013,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2017,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2001,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2012,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2014,120.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2007,119.0
dcs:who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,dcid:SouthEasternAsia,2004,119.0
