SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HIV_0000000012,dcid:country/AFG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/AGO,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ALB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ARG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/AZE,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BDI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BEN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BFA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BGD,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BGR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BIH,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BLR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BLZ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BOL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BRA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BTN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/BWA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CAF,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CHL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CHN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CIV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CMR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/COD,2009,0.0
dcs:who/HIV_0000000012,dcid:country/COG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/COK,2009,0.0
dcs:who/HIV_0000000012,dcid:country/COM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CPV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CRI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/CUB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/DJI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/DMA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/DOM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/DZA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ECU,2009,0.0
dcs:who/HIV_0000000012,dcid:country/EGY,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ERI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ETH,2009,0.0
dcs:who/HIV_0000000012,dcid:country/FJI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/FSM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GAB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GEO,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GHA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GIN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GMB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GNB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GNQ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GRD,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GTM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/GUY,2009,0.0
dcs:who/HIV_0000000012,dcid:country/HND,2009,0.0
dcs:who/HIV_0000000012,dcid:country/HRV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/HTI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/HUN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/IDN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/IND,2009,0.0
dcs:who/HIV_0000000012,dcid:country/IRN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/IRQ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/JAM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/JOR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/KAZ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/KEN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/KGZ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/KHM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/KIR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LAO,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LBN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LBR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LCA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LKA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LSO,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LTU,2009,0.0
dcs:who/HIV_0000000012,dcid:country/LVA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MAR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MDA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MDG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MDV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MEX,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MHL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MKD,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MLI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MMR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MNE,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MNG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MOZ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MRT,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MWI,2009,0.0
dcs:who/HIV_0000000012,dcid:country/MYS,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NAM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NER,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NGA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NIC,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NIU,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NPL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/NRU,2009,0.0
dcs:who/HIV_0000000012,dcid:country/OMN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PAK,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PAN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PER,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PHL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PLW,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PNG,2009,0.0
dcs:who/HIV_0000000012,dcid:country/POL,2009,0.0
dcs:who/HIV_0000000012,dcid:country/PRY,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ROU,2009,0.0
dcs:who/HIV_0000000012,dcid:country/RUS,2009,0.0
dcs:who/HIV_0000000012,dcid:country/RWA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SDN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SEN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SLB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SLE,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SLV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SOM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SRB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/STP,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SUR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SVK,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SWZ,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SYC,2009,0.0
dcs:who/HIV_0000000012,dcid:country/SYR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TCD,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TGO,2009,0.0
dcs:who/HIV_0000000012,dcid:country/THA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TJK,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TLS,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TON,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TUN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TUR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TUV,2009,0.0
dcs:who/HIV_0000000012,dcid:country/TZA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/UGA,2009,0.0
dcs:who/HIV_0000000012,dcid:country/UKR,2009,0.0
dcs:who/HIV_0000000012,dcid:country/URY,2009,0.0
dcs:who/HIV_0000000012,dcid:country/UZB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/VCT,2009,0.0
dcs:who/HIV_0000000012,dcid:country/VEN,2009,0.0
dcs:who/HIV_0000000012,dcid:country/VNM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/VUT,2009,0.0
dcs:who/HIV_0000000012,dcid:country/YEM,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ZAF,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ZMB,2009,0.0
dcs:who/HIV_0000000012,dcid:country/ZWE,2009,0.0
