SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2022,74.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2018,61.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2013,38.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2012,33.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1996,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2023,77.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2020,68.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2011,29.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1998,1.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2001,2.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2007,12.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2002,3.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1999,1.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2006,9.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1990,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1995,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1997,1.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2003,3.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1993,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2015,47.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2009,20.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2004,5.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2005,6.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1994,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2014,43.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2019,65.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2016,52.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2017,57.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2010,24.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2021,71.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1992,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,1991,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2000,2.0
dcs:who/HIV_ARTCOVERAGE,dcid:Earth,2008,16.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1999,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2012,24.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1998,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2023,66.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2022,63.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1994,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2010,17.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2020,57.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2016,41.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1990,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2001,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2007,7.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2013,29.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2017,44.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1997,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2003,1.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1996,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1995,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2005,3.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1993,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2004,1.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2015,36.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2014,32.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1992,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,1991,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2009,13.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2008,10.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2002,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2019,56.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2006,5.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2021,59.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2018,50.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2011,20.0
dcs:who/HIV_ARTCOVERAGE,dcid:SouthEasternAsia,2000,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2000,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2015,50.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1993,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2001,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2008,14.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2017,61.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2020,71.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2009,18.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1994,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2010,23.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1992,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2016,55.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1995,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1991,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1990,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1996,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2006,6.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2011,29.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2013,39.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1997,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2023,82.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2019,68.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2005,4.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1998,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2002,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,1999,0.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2007,10.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2004,2.0
dcs:who/HIV_ARTCOVERAGE,dcid:africa,2021,75.0
