SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HRH_42,dcid:country/ALB,2011,45.0
dcs:who/HRH_42,dcid:country/AND,2014,14.0
dcs:who/HRH_42,dcid:country/ARM,2014,784.0
dcs:who/HRH_42,dcid:country/ATG,2014,6.0
dcs:who/HRH_42,dcid:country/AUS,2015,1591.0
dcs:who/HRH_42,dcid:country/AUT,2014,2518.0
dcs:who/HRH_42,dcid:country/AZE,2012,1982.0
dcs:who/HRH_42,dcid:country/BEL,2012,1541.0
dcs:who/HRH_42,dcid:country/BEN,2014,90.0
dcs:who/HRH_42,dcid:country/BFA,2014,10.0
dcs:who/HRH_42,dcid:country/BGD,2012,850.0
dcs:who/HRH_42,dcid:country/BGR,2013,1408.0
dcs:who/HRH_42,dcid:country/BHR,2012,58.0
dcs:who/HRH_42,dcid:country/BIH,2013,115.0
dcs:who/HRH_42,dcid:country/BLR,2013,2590.0
dcs:who/HRH_42,dcid:country/BLZ,2014,4.0
dcs:who/HRH_42,dcid:country/BOL,2012,500.0
dcs:who/HRH_42,dcid:country/BRA,2013,25013.0
dcs:who/HRH_42,dcid:country/BRB,2014,12.0
dcs:who/HRH_42,dcid:country/BTN,2014,13.0
dcs:who/HRH_42,dcid:country/BWA,2014,18.0
dcs:who/HRH_42,dcid:country/CAF,2014,8.0
dcs:who/HRH_42,dcid:country/CAN,2013,3070.0
dcs:who/HRH_42,dcid:country/CHE,2013,1699.0
dcs:who/HRH_42,dcid:country/CHL,2012,1931.0
dcs:who/HRH_42,dcid:country/CHN,2012,53471.0
dcs:who/HRH_42,dcid:country/CIV,2014,238.0
dcs:who/HRH_42,dcid:country/CMR,2013,151.0
dcs:who/HRH_42,dcid:country/COD,2013,39.0
dcs:who/HRH_42,dcid:country/COG,2013,3.0
dcs:who/HRH_42,dcid:country/COK,2014,1.0
dcs:who/HRH_42,dcid:country/COL,2014,2338.0
dcs:who/HRH_42,dcid:country/CPV,2011,12.0
dcs:who/HRH_42,dcid:country/CRI,2014,375.0
dcs:who/HRH_42,dcid:country/CUB,2013,3001.0
dcs:who/HRH_42,dcid:country/CYP,2012,57.0
dcs:who/HRH_42,dcid:country/CZE,2013,2876.0
dcs:who/HRH_42,dcid:country/DEU,2013,25752.0
dcs:who/HRH_42,dcid:country/DJI,2013,13.0
dcs:who/HRH_42,dcid:country/DMA,2014,4.0
dcs:who/HRH_42,dcid:country/DNK,2012,565.0
dcs:who/HRH_42,dcid:country/DZA,2013,599.0
dcs:who/HRH_42,dcid:country/ECU,2014,2016.0
dcs:who/HRH_42,dcid:country/EGY,2014,15363.0
dcs:who/HRH_42,dcid:country/ERI,2008,17.0
dcs:who/HRH_42,dcid:country/ESP,2014,4018.0
dcs:who/HRH_42,dcid:country/EST,2014,938.0
dcs:who/HRH_42,dcid:country/ETH,2014,147.0
dcs:who/HRH_42,dcid:country/FIN,2014,1000.0
dcs:who/HRH_42,dcid:country/FJI,2014,12.0
dcs:who/HRH_42,dcid:country/FRA,2014,10247.0
dcs:who/HRH_42,dcid:country/FSM,2014,11.0
dcs:who/HRH_42,dcid:country/GBR,2012,12431.0
dcs:who/HRH_42,dcid:country/GEO,2012,1453.0
dcs:who/HRH_42,dcid:country/GMB,2011,8.0
dcs:who/HRH_42,dcid:country/GRC,2013,1867.0
dcs:who/HRH_42,dcid:country/GRD,2014,7.0
dcs:who/HRH_42,dcid:country/GTM,2014,188.0
dcs:who/HRH_42,dcid:country/GUY,2014,13.0
dcs:who/HRH_42,dcid:country/HND,2014,498.0
dcs:who/HRH_42,dcid:country/HRV,2013,761.0
dcs:who/HRH_42,dcid:country/HTI,2014,300.0
dcs:who/HRH_42,dcid:country/HUN,2011,1245.0
