SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HWF_0006,dcid:Earth,2022,37.7
dcs:who/HWF_0006,dcid:SouthEasternAsia,2022,20.6
dcs:who/HWF_0006,dcid:africa,2022,11.3
dcs:who/HWF_0006,dcid:country/AFG,2007,5.185
dcs:who/HWF_0006,dcid:country/AFG,2018,4.52
dcs:who/HWF_0006,dcid:country/AFG,2008,5.214
dcs:who/HWF_0006,dcid:country/AFG,2013,2.553
dcs:who/HWF_0006,dcid:country/AFG,2009,6.302
dcs:who/HWF_0006,dcid:country/AFG,2014,1.505
dcs:who/HWF_0006,dcid:country/AFG,2005,6.116
dcs:who/HWF_0006,dcid:country/AFG,2016,1.514
dcs:who/HWF_0006,dcid:country/AFG,2015,1.325
dcs:who/HWF_0006,dcid:country/AFG,2006,4.571
dcs:who/HWF_0006,dcid:country/AFG,2017,1.787
dcs:who/HWF_0006,dcid:country/AGO,2018,4.014
dcs:who/HWF_0006,dcid:country/AGO,1997,9.163
dcs:who/HWF_0006,dcid:country/AGO,2004,9.848
dcs:who/HWF_0006,dcid:country/AGO,2022,12.647
dcs:who/HWF_0006,dcid:country/AGO,2009,13.148
dcs:who/HWF_0006,dcid:country/AIA,2018,36.184
dcs:who/HWF_0006,dcid:country/ALB,1994,49.208
dcs:who/HWF_0006,dcid:country/ALB,2000,39.503
dcs:who/HWF_0006,dcid:country/ALB,2009,42.501
dcs:who/HWF_0006,dcid:country/ALB,1996,43.665
dcs:who/HWF_0006,dcid:country/ALB,2004,36.361
dcs:who/HWF_0006,dcid:country/ALB,1995,43.594
dcs:who/HWF_0006,dcid:country/ALB,2002,36.72
dcs:who/HWF_0006,dcid:country/ALB,1990,44.87
dcs:who/HWF_0006,dcid:country/ALB,2016,36.562
dcs:who/HWF_0006,dcid:country/ALB,2012,44.527
dcs:who/HWF_0006,dcid:country/ALB,2010,40.66
dcs:who/HWF_0006,dcid:country/ALB,2019,51.004
dcs:who/HWF_0006,dcid:country/ALB,2005,36.721
dcs:who/HWF_0006,dcid:country/ALB,2020,58.312
dcs:who/HWF_0006,dcid:country/ALB,1997,43.901
dcs:who/HWF_0006,dcid:country/ALB,2006,42.439
dcs:who/HWF_0006,dcid:country/ALB,1999,39.678
dcs:who/HWF_0006,dcid:country/ALB,1993,47.905
dcs:who/HWF_0006,dcid:country/ALB,2003,36.334
dcs:who/HWF_0006,dcid:country/ALB,2013,43.142
dcs:who/HWF_0006,dcid:country/ALB,2001,38.03
dcs:who/HWF_0006,dcid:country/ALB,2007,42.828
dcs:who/HWF_0006,dcid:country/ALB,1998,39.385
dcs:who/HWF_0006,dcid:country/ALB,2011,42.162
dcs:who/HWF_0006,dcid:country/AND,1999,31.05
dcs:who/HWF_0006,dcid:country/AND,2001,31.563
dcs:who/HWF_0006,dcid:country/AND,2007,35.806
dcs:who/HWF_0006,dcid:country/AND,2009,42.084
dcs:who/HWF_0006,dcid:country/AND,2000,32.829
dcs:who/HWF_0006,dcid:country/AND,2002,30.932
dcs:who/HWF_0006,dcid:country/AND,2003,29.093
dcs:who/HWF_0006,dcid:country/AND,2006,32.294
dcs:who/HWF_0006,dcid:country/AND,1995,24.96
dcs:who/HWF_0006,dcid:country/AND,2004,28.869
dcs:who/HWF_0006,dcid:country/AND,1998,28.681
dcs:who/HWF_0006,dcid:country/AND,1997,26.893
dcs:who/HWF_0006,dcid:country/AND,2005,33.333
dcs:who/HWF_0006,dcid:country/AND,2015,43.654
dcs:who/HWF_0006,dcid:country/ARE,2008,28.588
dcs:who/HWF_0006,dcid:country/ARE,1996,35.177
dcs:who/HWF_0006,dcid:country/ARE,2007,31.305
dcs:who/HWF_0006,dcid:country/ARE,2009,28.968
dcs:who/HWF_0006,dcid:country/ARE,2013,35.105
dcs:who/HWF_0006,dcid:country/ARE,2014,41.283
dcs:who/HWF_0006,dcid:country/ARE,2021,63.852
dcs:who/HWF_0006,dcid:country/ARE,1999,34.862
dcs:who/HWF_0006,dcid:country/ARE,2010,26.742
dcs:who/HWF_0006,dcid:country/ARE,1990,27.25
dcs:who/HWF_0006,dcid:country/ARE,1991,36.96
dcs:who/HWF_0006,dcid:country/ARE,2005,32.151
dcs:who/HWF_0006,dcid:country/ARE,2012,31.754
dcs:who/HWF_0006,dcid:country/ARE,2000,32.544
dcs:who/HWF_0006,dcid:country/ARE,2018,60.347
dcs:who/HWF_0006,dcid:country/ARE,2016,57.566
dcs:who/HWF_0006,dcid:country/ARE,2002,36.357
dcs:who/HWF_0006,dcid:country/ARE,1997,34.544
dcs:who/HWF_0006,dcid:country/ARE,2017,59.454
dcs:who/HWF_0006,dcid:country/ARE,1992,38.82
dcs:who/HWF_0006,dcid:country/ARE,2006,30.292
dcs:who/HWF_0006,dcid:country/ARE,2004,34.147
dcs:who/HWF_0006,dcid:country/ARE,2020,63.574
dcs:who/HWF_0006,dcid:country/ARE,2001,35.551
dcs:who/HWF_0006,dcid:country/ARE,2019,60.946
dcs:who/HWF_0006,dcid:country/ARE,2015,51.761
dcs:who/HWF_0006,dcid:country/ARE,1998,42.066
dcs:who/HWF_0006,dcid:country/ARE,1994,36.522
dcs:who/HWF_0006,dcid:country/ARE,2003,38.496
dcs:who/HWF_0006,dcid:country/ARE,2011,29.795
dcs:who/HWF_0006,dcid:country/ARE,1993,37.237
dcs:who/HWF_0006,dcid:country/ARE,1995,35.53
dcs:who/HWF_0006,dcid:country/ARG,2017,25.927
dcs:who/HWF_0006,dcid:country/ARG,2022,43.538
dcs:who/HWF_0006,dcid:country/ARG,2020,54.471
dcs:who/HWF_0006,dcid:country/ARG,2016,25.727
dcs:who/HWF_0006,dcid:country/ARG,1998,8.004
dcs:who/HWF_0006,dcid:country/ARG,1994,21.456
dcs:who/HWF_0006,dcid:country/ARG,1992,20.555
dcs:who/HWF_0006,dcid:country/ARM,2015,50.344
dcs:who/HWF_0006,dcid:country/ARM,2019,48.263
dcs:who/HWF_0006,dcid:country/ARM,2012,52.34
dcs:who/HWF_0006,dcid:country/ARM,2002,50.122
dcs:who/HWF_0006,dcid:country/ARM,2001,53.085
dcs:who/HWF_0006,dcid:country/ARM,2000,57.245
dcs:who/HWF_0006,dcid:country/ARM,2009,50.467
dcs:who/HWF_0006,dcid:country/ARM,2007,50.19
dcs:who/HWF_0006,dcid:country/ARM,2011,52.038
dcs:who/HWF_0006,dcid:country/ARM,2004,47.578
dcs:who/HWF_0006,dcid:country/ARM,2014,51.953
dcs:who/HWF_0006,dcid:country/ARM,2005,48.805
dcs:who/HWF_0006,dcid:country/ARM,2018,47.257
dcs:who/HWF_0006,dcid:country/ARM,2017,50.061
dcs:who/HWF_0006,dcid:country/ARM,2003,48.322
dcs:who/HWF_0006,dcid:country/ARM,2013,51.94
dcs:who/HWF_0006,dcid:country/ARM,2006,49.965
dcs:who/HWF_0006,dcid:country/ARM,2010,51.169
dcs:who/HWF_0006,dcid:country/ARM,2016,50.492
dcs:who/HWF_0006,dcid:country/ARM,2008,50.66
dcs:who/HWF_0006,dcid:country/ATG,2007,33.78
dcs:who/HWF_0006,dcid:country/ATG,2018,47.489
dcs:who/HWF_0006,dcid:country/ATG,2016,46.799
dcs:who/HWF_0006,dcid:country/ATG,2017,47.091
dcs:who/HWF_0006,dcid:country/ATG,2014,48.655
dcs:who/HWF_0006,dcid:country/ATG,1999,31.572
dcs:who/HWF_0006,dcid:country/ATG,2015,46.941
dcs:who/HWF_0006,dcid:country/ATG,2013,47.571
dcs:who/HWF_0006,dcid:country/ATG,2019,95.765
dcs:who/HWF_0006,dcid:country/AUS,2018,129.78
