SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ICD11_IMPL_LVL,dcid:country/AFG,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ARG,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/AUS,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/BGD,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/BGR,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/BLR,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/BRA,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/BTN,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/CAN,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/CHL,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/CHN,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/COL,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/CUB,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/CZE,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/DEU,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/DNK,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/DOM,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ECU,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/EGY,2019,3.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ESP,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/EST,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/FJI,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/FRA,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/GBR,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/GEO,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/GHA,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/GRC,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/GTM,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/HND,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/HRV,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/HUN,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/IND,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/IRL,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/IRN,2019,3.0
dcs:who/ICD11_IMPL_LVL,dcid:country/IRQ,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ISL,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ISR,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/ITA,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/JAM,2019,3.0
dcs:who/ICD11_IMPL_LVL,dcid:country/JOR,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/JPN,2019,2.0
dcs:who/ICD11_IMPL_LVL,dcid:country/KAZ,2019,1.0
dcs:who/ICD11_IMPL_LVL,dcid:country/KEN,2019,1.0
