SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AFG,2015,33.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AFG,2014,20.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AFG,2010,20.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AFG,2011,33.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2015,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2014,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2010,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2011,50.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2013,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2012,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/AGO,2009,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BDI,2014,16.66667
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2015,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2014,60.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2007,20.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2010,4.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2013,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2011,40.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2005,29.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2008,21.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2012,52.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2006,17.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BEN,2009,2.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2014,66.66667
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2011,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2009,33.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2000,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2013,50.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2010,48.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2008,44.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/BFA,2012,53.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CAF,2014,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CHN,2008,0.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2000,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2009,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2004,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2011,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2010,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2013,90.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2003,100.0
dcs:who/IR_CARBAMATE_EXTENT,dcid:country/CIV,2008,100.0
