SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AFG,2015,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AFG,2014,4.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AFG,2011,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AFG,2010,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2015,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2014,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2009,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2011,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2003,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2012,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2004,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2010,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AGO,2013,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/AZE,2010,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BDI,2014,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BDI,2007,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BDI,2006,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BDI,2005,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2015,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2014,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2005,4.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2006,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2010,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2012,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2007,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2008,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2009,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2011,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BEN,2013,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2014,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2013,4.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2010,4.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2008,4.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2009,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2012,3.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2011,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2001,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2006,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BFA,2000,2.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BGD,2014,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BGD,2000,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BGD,2012,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BGD,2001,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BOL,2013,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BRA,2014,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BRA,2012,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BRA,2013,1.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BRA,2011,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2011,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2009,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2007,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2008,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2010,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2006,0.0
dcs:who/IR_INSECTICIDERESISTANCE_PREV,dcid:country/BTN,2012,0.0
