SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AFG,2014,80.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AFG,2011,25.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AFG,2010,40.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AGO,2009,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AGO,2003,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/AGO,2004,0.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BDI,2014,83.33333
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BDI,2007,50.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BDI,2006,0.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BDI,2005,0.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2015,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2011,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2006,75.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2008,74.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2007,90.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2009,96.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2010,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BEN,2005,76.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2006,50.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2008,86.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2010,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2013,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2009,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2001,25.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BFA,2000,33.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BGD,2000,100.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BGD,2001,67.0
dcs:who/IR_ORGANOCHLORINE_EXTENT,dcid:country/BWA,2002,0.0
