SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AFG,2015,50.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AFG,2014,40.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AGO,2015,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AGO,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AGO,2009,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AGO,2013,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/AGO,2012,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BDI,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2015,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2013,33.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2012,30.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2005,22.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2008,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2009,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2011,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BEN,2010,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2014,11.11111
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2012,9.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2011,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2010,24.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2013,10.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2008,33.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BFA,2009,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BGD,2000,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/BGD,2001,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CAF,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CHN,2012,100.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CHN,2009,43.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CHN,2010,100.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CHN,2008,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2004,50.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2009,50.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2012,36.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2013,33.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2010,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2008,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CIV,2011,100.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CMR,2015,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CMR,2010,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CMR,2003,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/CMR,2006,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COD,2015,22.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COD,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COD,2012,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COD,2013,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COD,2009,50.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COG,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COG,2009,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COG,2013,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2015,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2013,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2006,14.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2012,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2005,25.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/COL,2011,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/DJI,2011,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/DOM,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/DOM,2012,100.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ECU,2011,75.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ECU,2012,100.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ERI,2014,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ERI,2013,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ERI,2009,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ETH,2014,42.85714
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ETH,2008,10.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ETH,2010,12.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ETH,2007,0.0
dcs:who/IR_ORGANOPHOSPHATE_EXTENT,dcid:country/ETH,2009,41.0
