SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ITU_ICT_2,dcid:country/AFG,2012,60.35299
dcs:who/ITU_ICT_2,dcid:country/ALB,2012,110.68653
dcs:who/ITU_ICT_2,dcid:country/ARE,2012,149.63908
dcs:who/ITU_ICT_2,dcid:country/ARG,2012,151.90518
dcs:who/ITU_ICT_2,dcid:country/ARM,2012,111.91467
dcs:who/ITU_ICT_2,dcid:country/AUS,2012,105.58569
dcs:who/ITU_ICT_2,dcid:country/AZE,2012,108.76834
dcs:who/ITU_ICT_2,dcid:country/BDI,2012,22.81446
dcs:who/ITU_ICT_2,dcid:country/BEL,2012,111.33155
dcs:who/ITU_ICT_2,dcid:country/BEN,2012,83.65431
dcs:who/ITU_ICT_2,dcid:country/BFA,2012,60.60765
dcs:who/ITU_ICT_2,dcid:country/BGR,2012,148.13112
dcs:who/ITU_ICT_2,dcid:country/BHR,2012,161.16705
dcs:who/ITU_ICT_2,dcid:country/BIH,2012,87.57471
dcs:who/ITU_ICT_2,dcid:country/BLZ,2012,53.20712
dcs:who/ITU_ICT_2,dcid:country/BOL,2012,90.4435
dcs:who/ITU_ICT_2,dcid:country/BRA,2012,125.00185
dcs:who/ITU_ICT_2,dcid:country/BRB,2012,122.51917
dcs:who/ITU_ICT_2,dcid:country/BRN,2012,113.94874
dcs:who/ITU_ICT_2,dcid:country/BTN,2012,75.60978
dcs:who/ITU_ICT_2,dcid:country/BWA,2012,153.78564
dcs:who/ITU_ICT_2,dcid:country/CAF,2012,25.26102
dcs:who/ITU_ICT_2,dcid:country/CAN,2012,80.05046
dcs:who/ITU_ICT_2,dcid:country/CHE,2012,130.21899
dcs:who/ITU_ICT_2,dcid:country/CHL,2012,138.16783
dcs:who/ITU_ICT_2,dcid:country/CHN,2012,80.76272
dcs:who/ITU_ICT_2,dcid:country/CIV,2012,91.22863
dcs:who/ITU_ICT_2,dcid:country/CMR,2012,60.40683
dcs:who/ITU_ICT_2,dcid:country/COD,2012,30.58009
dcs:who/ITU_ICT_2,dcid:country/COG,2012,98.75683
dcs:who/ITU_ICT_2,dcid:country/COL,2012,102.85493
dcs:who/ITU_ICT_2,dcid:country/COM,2012,39.51356
dcs:who/ITU_ICT_2,dcid:country/CPV,2012,86.02531
dcs:who/ITU_ICT_2,dcid:country/CRI,2012,111.91991
dcs:who/ITU_ICT_2,dcid:country/CUB,2012,14.92016
dcs:who/ITU_ICT_2,dcid:country/CYP,2012,98.40044
dcs:who/ITU_ICT_2,dcid:country/CZE,2012,126.84648
dcs:who/ITU_ICT_2,dcid:country/DEU,2012,111.59404
dcs:who/ITU_ICT_2,dcid:country/DJI,2012,24.71558
dcs:who/ITU_ICT_2,dcid:country/DMA,2012,152.47475
dcs:who/ITU_ICT_2,dcid:country/DNK,2012,117.57196
dcs:who/ITU_ICT_2,dcid:country/DOM,2012,86.9371
dcs:who/ITU_ICT_2,dcid:country/DZA,2012,97.94785
dcs:who/ITU_ICT_2,dcid:country/ECU,2012,106.22553
dcs:who/ITU_ICT_2,dcid:country/EGY,2012,119.91644
dcs:who/ITU_ICT_2,dcid:country/ERI,2012,4.9794
dcs:who/ITU_ICT_2,dcid:country/ESP,2012,108.36402
dcs:who/ITU_ICT_2,dcid:country/EST,2012,160.41078
dcs:who/ITU_ICT_2,dcid:country/ETH,2012,22.37452
dcs:who/ITU_ICT_2,dcid:country/FIN,2012,172.32243
dcs:who/ITU_ICT_2,dcid:country/FJI,2012,98.17855
dcs:who/ITU_ICT_2,dcid:country/FRA,2012,97.40903
dcs:who/ITU_ICT_2,dcid:country/GAB,2012,179.47141
dcs:who/ITU_ICT_2,dcid:country/GBR,2012,135.28638
dcs:who/ITU_ICT_2,dcid:country/GEO,2012,107.80911
dcs:who/ITU_ICT_2,dcid:country/GHA,2012,100.9933
dcs:who/ITU_ICT_2,dcid:country/GIN,2012,41.75082
dcs:who/ITU_ICT_2,dcid:country/GMB,2012,85.20376
dcs:who/ITU_ICT_2,dcid:country/GNB,2012,63.06922
dcs:who/ITU_ICT_2,dcid:country/GNQ,2012,68.05374
dcs:who/ITU_ICT_2,dcid:country/GRC,2012,120.03722
dcs:who/ITU_ICT_2,dcid:country/GRD,2012,121.34657
dcs:who/ITU_ICT_2,dcid:country/GTM,2012,137.81949
dcs:who/ITU_ICT_2,dcid:country/GUY,2012,68.77902
dcs:who/ITU_ICT_2,dcid:country/HND,2012,92.87017
dcs:who/ITU_ICT_2,dcid:country/HRV,2012,115.4136
dcs:who/ITU_ICT_2,dcid:country/HTI,2012,59.90841
dcs:who/ITU_ICT_2,dcid:country/HUN,2012,116.07056
dcs:who/ITU_ICT_2,dcid:country/IDN,2012,114.21813
dcs:who/ITU_ICT_2,dcid:country/IND,2012,69.92232
dcs:who/ITU_ICT_2,dcid:country/IRL,2012,107.21289
dcs:who/ITU_ICT_2,dcid:country/IRN,2012,76.09808
dcs:who/ITU_ICT_2,dcid:country/IRQ,2012,81.62785
dcs:who/ITU_ICT_2,dcid:country/ISL,2012,108.05451
dcs:who/ITU_ICT_2,dcid:country/ISR,2012,120.68439
dcs:who/ITU_ICT_2,dcid:country/ITA,2012,159.76268
dcs:who/ITU_ICT_2,dcid:country/JAM,2012,96.27312
dcs:who/ITU_ICT_2,dcid:country/JOR,2012,128.17354
dcs:who/ITU_ICT_2,dcid:country/JPN,2012,110.90736
dcs:who/ITU_ICT_2,dcid:country/KAZ,2012,185.82156
dcs:who/ITU_ICT_2,dcid:country/KGZ,2012,124.17953
dcs:who/ITU_ICT_2,dcid:country/KHM,2012,128.52721
dcs:who/ITU_ICT_2,dcid:country/KIR,2012,15.87522
dcs:who/ITU_ICT_2,dcid:country/KNA,2012,156.76321
dcs:who/ITU_ICT_2,dcid:country/KOR,2012,109.43162
dcs:who/ITU_ICT_2,dcid:country/LAO,2012,64.70226
dcs:who/ITU_ICT_2,dcid:country/LBN,2012,80.80708
dcs:who/ITU_ICT_2,dcid:country/LBR,2012,57.12137
dcs:who/ITU_ICT_2,dcid:country/LBY,2012,155.76909
dcs:who/ITU_ICT_2,dcid:country/LCA,2012,125.50451
dcs:who/ITU_ICT_2,dcid:country/LKA,2012,91.63311
dcs:who/ITU_ICT_2,dcid:country/LSO,2012,75.30008
dcs:who/ITU_ICT_2,dcid:country/LTU,2012,165.05583
dcs:who/ITU_ICT_2,dcid:country/LUX,2012,145.35994
dcs:who/ITU_ICT_2,dcid:country/MAR,2012,119.97221
dcs:who/ITU_ICT_2,dcid:country/MCO,2012,88.33391
dcs:who/ITU_ICT_2,dcid:country/MDA,2012,101.98903
dcs:who/ITU_ICT_2,dcid:country/MDG,2012,39.37667
dcs:who/ITU_ICT_2,dcid:country/MDV,2012,165.62572
dcs:who/ITU_ICT_2,dcid:country/ME1,2012,181.2968
dcs:who/ITU_ICT_2,dcid:country/MEX,2012,83.35071
dcs:who/ITU_ICT_2,dcid:country/MKD,2012,106.16862
dcs:who/ITU_ICT_2,dcid:country/MLI,2012,98.37926
dcs:who/ITU_ICT_2,dcid:country/MLT,2012,126.96183
dcs:who/ITU_ICT_2,dcid:country/MOZ,2012,36.23909
dcs:who/ITU_ICT_2,dcid:country/MRT,2012,105.9957
dcs:who/ITU_ICT_2,dcid:country/MUS,2012,119.8654
dcs:who/ITU_ICT_2,dcid:country/MWI,2012,29.21384
dcs:who/ITU_ICT_2,dcid:country/MYS,2012,141.3297
dcs:who/ITU_ICT_2,dcid:country/NAM,2012,95.01813
dcs:who/ITU_ICT_2,dcid:country/NER,2012,31.44796
dcs:who/ITU_ICT_2,dcid:country/NIC,2012,86.13478
dcs:who/ITU_ICT_2,dcid:country/NLD,2012,117.96685
dcs:who/ITU_ICT_2,dcid:country/NOR,2012,116.68231
dcs:who/ITU_ICT_2,dcid:country/NPL,2012,59.61919
dcs:who/ITU_ICT_2,dcid:country/NRU,2012,67.7831
dcs:who/ITU_ICT_2,dcid:country/NZL,2012,110.3624
dcs:who/ITU_ICT_2,dcid:country/OMN,2012,159.25134
dcs:who/ITU_ICT_2,dcid:country/PAK,2012,67.06361
dcs:who/ITU_ICT_2,dcid:country/PAN,2012,178.02751
dcs:who/ITU_ICT_2,dcid:country/PHL,2012,106.50755
dcs:who/ITU_ICT_2,dcid:country/PLW,2012,82.63949
dcs:who/ITU_ICT_2,dcid:country/POL,2012,140.34344
dcs:who/ITU_ICT_2,dcid:country/PRK,2012,6.86503
dcs:who/ITU_ICT_2,dcid:country/PRT,2012,116.10607
dcs:who/ITU_ICT_2,dcid:country/QAT,2012,126.85648
dcs:who/ITU_ICT_2,dcid:country/ROU,2012,104.98861
dcs:who/ITU_ICT_2,dcid:country/RUS,2012,182.92128
dcs:who/ITU_ICT_2,dcid:country/RWA,2012,49.66704
dcs:who/ITU_ICT_2,dcid:country/SAU,2012,187.40312
dcs:who/ITU_ICT_2,dcid:country/SDN,2012,74.36036
dcs:who/ITU_ICT_2,dcid:country/SEN,2012,83.56862
dcs:who/ITU_ICT_2,dcid:country/SGP,2012,152.12518
dcs:who/ITU_ICT_2,dcid:country/SLB,2012,54.976
dcs:who/ITU_ICT_2,dcid:country/SLE,2012,36.96439
dcs:who/ITU_ICT_2,dcid:country/SLV,2012,137.34253
dcs:who/ITU_ICT_2,dcid:country/SMR,2012,115.21106
dcs:who/ITU_ICT_2,dcid:country/SOM,2012,22.55978
dcs:who/ITU_ICT_2,dcid:country/SRB,2012,117.84888
dcs:who/ITU_ICT_2,dcid:country/SSD,2012,21.22255
dcs:who/ITU_ICT_2,dcid:country/STP,2012,64.95125
dcs:who/ITU_ICT_2,dcid:country/SUR,2012,106.45937
dcs:who/ITU_ICT_2,dcid:country/SVK,2012,111.91219
dcs:who/ITU_ICT_2,dcid:country/SVN,2012,108.60606
dcs:who/ITU_ICT_2,dcid:country/SWE,2012,124.57217
dcs:who/ITU_ICT_2,dcid:country/SWZ,2012,65.39478
dcs:who/ITU_ICT_2,dcid:country/SYC,2012,147.80321
dcs:who/ITU_ICT_2,dcid:country/SYR,2012,59.29734
dcs:who/ITU_ICT_2,dcid:country/TCD,2012,35.36488
dcs:who/ITU_ICT_2,dcid:country/TGO,2012,49.86113
dcs:who/ITU_ICT_2,dcid:country/THA,2012,127.29267
dcs:who/ITU_ICT_2,dcid:country/TJK,2012,81.50841
dcs:who/ITU_ICT_2,dcid:country/TKM,2012,76.41702
dcs:who/ITU_ICT_2,dcid:country/TLS,2012,55.73976
dcs:who/ITU_ICT_2,dcid:country/TON,2012,53.36332
