SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ITU_IDI,dcid:country/AGO,2011,1.63429
dcs:who/ITU_IDI,dcid:country/AGO,2012,1.68385
dcs:who/ITU_IDI,dcid:country/ALB,2011,3.80156
dcs:who/ITU_IDI,dcid:country/ALB,2012,4.10672
dcs:who/ITU_IDI,dcid:country/ARE,2011,5.68253
dcs:who/ITU_IDI,dcid:country/ARE,2012,6.41393
dcs:who/ITU_IDI,dcid:country/ARG,2011,5.06213
dcs:who/ITU_IDI,dcid:country/ARG,2012,5.36478
dcs:who/ITU_IDI,dcid:country/ARM,2011,4.17843
dcs:who/ITU_IDI,dcid:country/ARM,2012,4.45019
dcs:who/ITU_IDI,dcid:country/ATG,2011,5.70114
dcs:who/ITU_IDI,dcid:country/ATG,2012,5.73756
dcs:who/ITU_IDI,dcid:country/AUS,2011,7.544
dcs:who/ITU_IDI,dcid:country/AUS,2012,7.90052
dcs:who/ITU_IDI,dcid:country/AUT,2011,7.10193
dcs:who/ITU_IDI,dcid:country/AUT,2012,7.35554
dcs:who/ITU_IDI,dcid:country/AZE,2011,4.62264
dcs:who/ITU_IDI,dcid:country/AZE,2012,5.01108
dcs:who/ITU_IDI,dcid:country/BEL,2011,6.85414
dcs:who/ITU_IDI,dcid:country/BEL,2012,7.162
dcs:who/ITU_IDI,dcid:country/BEN,2011,1.56581
dcs:who/ITU_IDI,dcid:country/BEN,2012,1.60391
dcs:who/ITU_IDI,dcid:country/BFA,2011,1.11382
dcs:who/ITU_IDI,dcid:country/BFA,2012,1.17983
dcs:who/ITU_IDI,dcid:country/BGD,2011,1.62484
dcs:who/ITU_IDI,dcid:country/BGD,2012,1.72866
dcs:who/ITU_IDI,dcid:country/BGR,2011,5.49776
dcs:who/ITU_IDI,dcid:country/BGR,2012,5.83409
dcs:who/ITU_IDI,dcid:country/BHR,2011,5.79024
dcs:who/ITU_IDI,dcid:country/BHR,2012,6.29728
dcs:who/ITU_IDI,dcid:country/BIH,2011,4.49282
dcs:who/ITU_IDI,dcid:country/BIH,2012,4.7077
dcs:who/ITU_IDI,dcid:country/BLR,2011,5.5668
dcs:who/ITU_IDI,dcid:country/BLR,2012,6.11317
dcs:who/ITU_IDI,dcid:country/BOL,2011,3.08064
dcs:who/ITU_IDI,dcid:country/BOL,2012,3.27989
dcs:who/ITU_IDI,dcid:country/BRA,2011,4.58905
dcs:who/ITU_IDI,dcid:country/BRA,2012,4.99737
dcs:who/ITU_IDI,dcid:country/BRB,2011,6.00549
dcs:who/ITU_IDI,dcid:country/BRB,2012,6.65386
dcs:who/ITU_IDI,dcid:country/BRN,2011,4.92897
dcs:who/ITU_IDI,dcid:country/BRN,2012,5.06151
dcs:who/ITU_IDI,dcid:country/BTN,2011,2.19229
dcs:who/ITU_IDI,dcid:country/BTN,2012,2.40436
dcs:who/ITU_IDI,dcid:country/BWA,2011,2.82916
dcs:who/ITU_IDI,dcid:country/BWA,2012,2.99734
dcs:who/ITU_IDI,dcid:country/CAF,2011,0.99505
dcs:who/ITU_IDI,dcid:country/CAF,2012,1.00379
