SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ITU_IDI_RANK,dcid:country/AGO,2011,138.0
dcs:who/ITU_IDI_RANK,dcid:country/AGO,2012,139.0
dcs:who/ITU_IDI_RANK,dcid:country/ALB,2011,80.0
dcs:who/ITU_IDI_RANK,dcid:country/ALB,2012,80.0
dcs:who/ITU_IDI_RANK,dcid:country/ARE,2011,45.0
dcs:who/ITU_IDI_RANK,dcid:country/ARE,2012,33.0
dcs:who/ITU_IDI_RANK,dcid:country/ARG,2011,53.0
dcs:who/ITU_IDI_RANK,dcid:country/ARG,2012,53.0
dcs:who/ITU_IDI_RANK,dcid:country/ARM,2011,75.0
dcs:who/ITU_IDI_RANK,dcid:country/ARM,2012,74.0
dcs:who/ITU_IDI_RANK,dcid:country/ATG,2011,44.0
dcs:who/ITU_IDI_RANK,dcid:country/ATG,2012,49.0
dcs:who/ITU_IDI_RANK,dcid:country/AUS,2011,15.0
dcs:who/ITU_IDI_RANK,dcid:country/AUS,2012,11.0
dcs:who/ITU_IDI_RANK,dcid:country/AUT,2011,21.0
dcs:who/ITU_IDI_RANK,dcid:country/AUT,2012,21.0
dcs:who/ITU_IDI_RANK,dcid:country/AZE,2011,60.0
dcs:who/ITU_IDI_RANK,dcid:country/AZE,2012,61.0
dcs:who/ITU_IDI_RANK,dcid:country/BEL,2011,23.0
dcs:who/ITU_IDI_RANK,dcid:country/BEL,2012,25.0
dcs:who/ITU_IDI_RANK,dcid:country/BEN,2011,142.0
dcs:who/ITU_IDI_RANK,dcid:country/BEN,2012,143.0
dcs:who/ITU_IDI_RANK,dcid:country/BFA,2011,154.0
dcs:who/ITU_IDI_RANK,dcid:country/BFA,2012,154.0
dcs:who/ITU_IDI_RANK,dcid:country/BGD,2011,139.0
dcs:who/ITU_IDI_RANK,dcid:country/BGD,2012,135.0
dcs:who/ITU_IDI_RANK,dcid:country/BGR,2011,47.0
dcs:who/ITU_IDI_RANK,dcid:country/BGR,2012,46.0
dcs:who/ITU_IDI_RANK,dcid:country/BHR,2011,42.0
dcs:who/ITU_IDI_RANK,dcid:country/BHR,2012,39.0
dcs:who/ITU_IDI_RANK,dcid:country/BIH,2011,64.0
dcs:who/ITU_IDI_RANK,dcid:country/BIH,2012,67.0
dcs:who/ITU_IDI_RANK,dcid:country/BLR,2011,46.0
dcs:who/ITU_IDI_RANK,dcid:country/BLR,2012,41.0
dcs:who/ITU_IDI_RANK,dcid:country/BOL,2011,102.0
dcs:who/ITU_IDI_RANK,dcid:country/BOL,2012,99.0
dcs:who/ITU_IDI_RANK,dcid:country/BRA,2011,62.0
dcs:who/ITU_IDI_RANK,dcid:country/BRA,2012,62.0
dcs:who/ITU_IDI_RANK,dcid:country/BRB,2011,36.0
dcs:who/ITU_IDI_RANK,dcid:country/BRB,2012,29.0
dcs:who/ITU_IDI_RANK,dcid:country/BRN,2011,56.0
dcs:who/ITU_IDI_RANK,dcid:country/BRN,2012,58.0
dcs:who/ITU_IDI_RANK,dcid:country/BTN,2011,117.0
dcs:who/ITU_IDI_RANK,dcid:country/BTN,2012,118.0
dcs:who/ITU_IDI_RANK,dcid:country/BWA,2011,108.0
dcs:who/ITU_IDI_RANK,dcid:country/BWA,2012,108.0
dcs:who/ITU_IDI_RANK,dcid:country/CAF,2011,155.0
dcs:who/ITU_IDI_RANK,dcid:country/CAF,2012,156.0
dcs:who/ITU_IDI_RANK,dcid:country/CAN,2011,20.0
dcs:who/ITU_IDI_RANK,dcid:country/CAN,2012,20.0
dcs:who/ITU_IDI_RANK,dcid:country/CHE,2011,12.0
dcs:who/ITU_IDI_RANK,dcid:country/CHE,2012,13.0
dcs:who/ITU_IDI_RANK,dcid:country/CHL,2011,52.0
dcs:who/ITU_IDI_RANK,dcid:country/CHL,2012,51.0
dcs:who/ITU_IDI_RANK,dcid:country/CHN,2011,79.0
dcs:who/ITU_IDI_RANK,dcid:country/CHN,2012,78.0
dcs:who/ITU_IDI_RANK,dcid:country/CIV,2011,135.0
dcs:who/ITU_IDI_RANK,dcid:country/CIV,2012,137.0
dcs:who/ITU_IDI_RANK,dcid:country/CMR,2011,136.0
dcs:who/ITU_IDI_RANK,dcid:country/CMR,2012,136.0
dcs:who/ITU_IDI_RANK,dcid:country/COD,2011,146.0
dcs:who/ITU_IDI_RANK,dcid:country/COD,2012,147.0
dcs:who/ITU_IDI_RANK,dcid:country/COG,2011,140.0
dcs:who/ITU_IDI_RANK,dcid:country/COG,2012,140.0
dcs:who/ITU_IDI_RANK,dcid:country/COL,2011,78.0
dcs:who/ITU_IDI_RANK,dcid:country/COL,2012,77.0
dcs:who/ITU_IDI_RANK,dcid:country/COM,2011,134.0
dcs:who/ITU_IDI_RANK,dcid:country/COM,2012,138.0
dcs:who/ITU_IDI_RANK,dcid:country/CPV,2011,96.0
dcs:who/ITU_IDI_RANK,dcid:country/CPV,2012,96.0
dcs:who/ITU_IDI_RANK,dcid:country/CRI,2011,65.0
dcs:who/ITU_IDI_RANK,dcid:country/CRI,2012,60.0
dcs:who/ITU_IDI_RANK,dcid:country/CUB,2011,110.0
dcs:who/ITU_IDI_RANK,dcid:country/CUB,2012,111.0
dcs:who/ITU_IDI_RANK,dcid:country/CYP,2011,43.0
dcs:who/ITU_IDI_RANK,dcid:country/CYP,2012,45.0
dcs:who/ITU_IDI_RANK,dcid:country/CZE,2011,31.0
dcs:who/ITU_IDI_RANK,dcid:country/CZE,2012,34.0
dcs:who/ITU_IDI_RANK,dcid:country/DEU,2011,17.0
dcs:who/ITU_IDI_RANK,dcid:country/DEU,2012,19.0
dcs:who/ITU_IDI_RANK,dcid:country/DJI,2011,131.0
dcs:who/ITU_IDI_RANK,dcid:country/DJI,2012,131.0
dcs:who/ITU_IDI_RANK,dcid:country/DNK,2011,3.0
dcs:who/ITU_IDI_RANK,dcid:country/DNK,2012,4.0
dcs:who/ITU_IDI_RANK,dcid:country/DOM,2011,95.0
dcs:who/ITU_IDI_RANK,dcid:country/DOM,2012,94.0
dcs:who/ITU_IDI_RANK,dcid:country/DZA,2011,105.0
dcs:who/ITU_IDI_RANK,dcid:country/DZA,2012,106.0
dcs:who/ITU_IDI_RANK,dcid:country/ECU,2011,83.0
dcs:who/ITU_IDI_RANK,dcid:country/ECU,2012,81.0
dcs:who/ITU_IDI_RANK,dcid:country/EGY,2011,87.0
dcs:who/ITU_IDI_RANK,dcid:country/EGY,2012,86.0
dcs:who/ITU_IDI_RANK,dcid:country/ERI,2011,153.0
dcs:who/ITU_IDI_RANK,dcid:country/ERI,2012,153.0
dcs:who/ITU_IDI_RANK,dcid:country/ESP,2011,27.0
dcs:who/ITU_IDI_RANK,dcid:country/ESP,2012,27.0
dcs:who/ITU_IDI_RANK,dcid:country/EST,2011,25.0
dcs:who/ITU_IDI_RANK,dcid:country/EST,2012,22.0
dcs:who/ITU_IDI_RANK,dcid:country/ETH,2011,150.0
dcs:who/ITU_IDI_RANK,dcid:country/ETH,2012,151.0
dcs:who/ITU_IDI_RANK,dcid:country/FIN,2011,5.0
dcs:who/ITU_IDI_RANK,dcid:country/FIN,2012,5.0
dcs:who/ITU_IDI_RANK,dcid:country/FJI,2011,81.0
dcs:who/ITU_IDI_RANK,dcid:country/FJI,2012,82.0
dcs:who/ITU_IDI_RANK,dcid:country/FRA,2011,19.0
dcs:who/ITU_IDI_RANK,dcid:country/FRA,2012,18.0
dcs:who/ITU_IDI_RANK,dcid:country/GAB,2011,112.0
dcs:who/ITU_IDI_RANK,dcid:country/GAB,2012,112.0
dcs:who/ITU_IDI_RANK,dcid:country/GBR,2011,11.0
dcs:who/ITU_IDI_RANK,dcid:country/GBR,2012,8.0
dcs:who/ITU_IDI_RANK,dcid:country/GEO,2011,73.0
dcs:who/ITU_IDI_RANK,dcid:country/GEO,2012,71.0
dcs:who/ITU_IDI_RANK,dcid:country/GHA,2011,114.0
dcs:who/ITU_IDI_RANK,dcid:country/GHA,2012,113.0
dcs:who/ITU_IDI_RANK,dcid:country/GIN,2011,151.0
dcs:who/ITU_IDI_RANK,dcid:country/GIN,2012,152.0
dcs:who/ITU_IDI_RANK,dcid:country/GMB,2011,127.0
dcs:who/ITU_IDI_RANK,dcid:country/GMB,2012,128.0
dcs:who/ITU_IDI_RANK,dcid:country/GNB,2011,152.0
dcs:who/ITU_IDI_RANK,dcid:country/GNB,2012,150.0
dcs:who/ITU_IDI_RANK,dcid:country/GRC,2011,33.0
dcs:who/ITU_IDI_RANK,dcid:country/GRC,2012,32.0
dcs:who/ITU_IDI_RANK,dcid:country/GUY,2011,106.0
dcs:who/ITU_IDI_RANK,dcid:country/GUY,2012,105.0
dcs:who/ITU_IDI_RANK,dcid:country/HND,2011,109.0
dcs:who/ITU_IDI_RANK,dcid:country/HND,2012,110.0
dcs:who/ITU_IDI_RANK,dcid:country/HRV,2011,34.0
dcs:who/ITU_IDI_RANK,dcid:country/HRV,2012,38.0
dcs:who/ITU_IDI_RANK,dcid:country/HUN,2011,39.0
dcs:who/ITU_IDI_RANK,dcid:country/HUN,2012,42.0
dcs:who/ITU_IDI_RANK,dcid:country/IDN,2011,97.0
dcs:who/ITU_IDI_RANK,dcid:country/IDN,2012,97.0
dcs:who/ITU_IDI_RANK,dcid:country/IND,2011,120.0
dcs:who/ITU_IDI_RANK,dcid:country/IND,2012,121.0
dcs:who/ITU_IDI_RANK,dcid:country/IRL,2011,22.0
dcs:who/ITU_IDI_RANK,dcid:country/IRL,2012,23.0
dcs:who/ITU_IDI_RANK,dcid:country/IRN,2011,88.0
dcs:who/ITU_IDI_RANK,dcid:country/IRN,2012,90.0
dcs:who/ITU_IDI_RANK,dcid:country/ISL,2011,4.0
dcs:who/ITU_IDI_RANK,dcid:country/ISL,2012,3.0
dcs:who/ITU_IDI_RANK,dcid:country/ISR,2011,26.0
dcs:who/ITU_IDI_RANK,dcid:country/ISR,2012,26.0
dcs:who/ITU_IDI_RANK,dcid:country/ITA,2011,29.0
dcs:who/ITU_IDI_RANK,dcid:country/ITA,2012,30.0
dcs:who/ITU_IDI_RANK,dcid:country/JAM,2011,93.0
dcs:who/ITU_IDI_RANK,dcid:country/JAM,2012,93.0
dcs:who/ITU_IDI_RANK,dcid:country/JOR,2011,77.0
dcs:who/ITU_IDI_RANK,dcid:country/JOR,2012,76.0
dcs:who/ITU_IDI_RANK,dcid:country/JPN,2011,8.0
dcs:who/ITU_IDI_RANK,dcid:country/JPN,2012,12.0
dcs:who/ITU_IDI_RANK,dcid:country/KAZ,2011,49.0
dcs:who/ITU_IDI_RANK,dcid:country/KAZ,2012,48.0
dcs:who/ITU_IDI_RANK,dcid:country/KEN,2011,116.0
dcs:who/ITU_IDI_RANK,dcid:country/KEN,2012,116.0
dcs:who/ITU_IDI_RANK,dcid:country/KHM,2011,121.0
dcs:who/ITU_IDI_RANK,dcid:country/KHM,2012,120.0
dcs:who/ITU_IDI_RANK,dcid:country/LAO,2011,122.0
dcs:who/ITU_IDI_RANK,dcid:country/LAO,2012,123.0
dcs:who/ITU_IDI_RANK,dcid:country/LBN,2011,61.0
dcs:who/ITU_IDI_RANK,dcid:country/LBN,2012,52.0
dcs:who/ITU_IDI_RANK,dcid:country/LBR,2011,148.0
