SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2007,22.1
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2003,19.1
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2018,24.2
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2004,19.4
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2011,22.9
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2014,22.7
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2019,23.6
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2005,20.0
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2020,23.1
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2009,22.7
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2000,19.0
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2001,18.8
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2012,23.3
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2002,18.9
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2008,22.7
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2017,23.8
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2010,23.0
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2015,23.3
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2013,23.2
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2016,23.5
dcs:who/LBW_NUMBER,dcid:AustraliaAndNewZealand,2006,20.6
dcs:who/LBW_NUMBER,dcid:Caribbean,2007,74.9
dcs:who/LBW_NUMBER,dcid:Caribbean,2006,74.8
dcs:who/LBW_NUMBER,dcid:Caribbean,2016,78.0
dcs:who/LBW_NUMBER,dcid:Caribbean,2015,78.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2010,78.6
dcs:who/LBW_NUMBER,dcid:Caribbean,2008,76.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2002,76.3
dcs:who/LBW_NUMBER,dcid:Caribbean,2004,75.8
dcs:who/LBW_NUMBER,dcid:Caribbean,2009,78.3
dcs:who/LBW_NUMBER,dcid:Caribbean,2005,75.4
dcs:who/LBW_NUMBER,dcid:Caribbean,2001,76.2
dcs:who/LBW_NUMBER,dcid:Caribbean,2011,79.2
dcs:who/LBW_NUMBER,dcid:Caribbean,2017,77.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2018,77.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2012,78.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2003,76.2
dcs:who/LBW_NUMBER,dcid:Caribbean,2013,78.4
dcs:who/LBW_NUMBER,dcid:Caribbean,2020,76.4
dcs:who/LBW_NUMBER,dcid:Caribbean,2014,78.3
dcs:who/LBW_NUMBER,dcid:Caribbean,2000,76.7
dcs:who/LBW_NUMBER,dcid:Caribbean,2019,77.1
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2008,357.2
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2017,339.3
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2012,359.7
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2014,354.7
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2005,360.0
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2006,358.1
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2001,367.2
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2018,333.9
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2004,362.3
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2010,357.5
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2009,357.3
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2013,358.8
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2007,357.6
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2003,364.2
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2015,348.5
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2002,365.8
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2011,359.1
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2019,323.8
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2020,321.2
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2016,343.9
dcs:who/LBW_NUMBER,dcid:CentralAmerica,2000,367.0
dcs:who/LBW_NUMBER,dcid:CentralAsia,2012,100.7
dcs:who/LBW_NUMBER,dcid:CentralAsia,2003,79.4
dcs:who/LBW_NUMBER,dcid:CentralAsia,2015,106.7
dcs:who/LBW_NUMBER,dcid:CentralAsia,2011,99.1
dcs:who/LBW_NUMBER,dcid:CentralAsia,2000,80.6
dcs:who/LBW_NUMBER,dcid:CentralAsia,2016,106.3
dcs:who/LBW_NUMBER,dcid:CentralAsia,2002,79.6
dcs:who/LBW_NUMBER,dcid:CentralAsia,2010,98.0
dcs:who/LBW_NUMBER,dcid:CentralAsia,2020,109.9
dcs:who/LBW_NUMBER,dcid:CentralAsia,2007,89.7
dcs:who/LBW_NUMBER,dcid:CentralAsia,2018,108.5
dcs:who/LBW_NUMBER,dcid:CentralAsia,2013,103.0
dcs:who/LBW_NUMBER,dcid:CentralAsia,2009,96.6
dcs:who/LBW_NUMBER,dcid:CentralAsia,2005,82.5
dcs:who/LBW_NUMBER,dcid:CentralAsia,2008,93.8
dcs:who/LBW_NUMBER,dcid:CentralAsia,2006,85.6
dcs:who/LBW_NUMBER,dcid:CentralAsia,2019,107.7
dcs:who/LBW_NUMBER,dcid:CentralAsia,2004,81.1
dcs:who/LBW_NUMBER,dcid:CentralAsia,2001,79.7
dcs:who/LBW_NUMBER,dcid:CentralAsia,2017,105.0
dcs:who/LBW_NUMBER,dcid:CentralAsia,2014,105.8
dcs:who/LBW_NUMBER,dcid:Earth,2014,21141.9
dcs:who/LBW_NUMBER,dcid:Earth,2012,21563.5
dcs:who/LBW_NUMBER,dcid:Earth,2011,21559.4
dcs:who/LBW_NUMBER,dcid:Earth,2008,21712.9
dcs:who/LBW_NUMBER,dcid:Earth,2001,22173.3
dcs:who/LBW_NUMBER,dcid:Earth,2005,21770.9
dcs:who/LBW_NUMBER,dcid:Earth,2006,21682.2
dcs:who/LBW_NUMBER,dcid:Earth,2019,20118.1
dcs:who/LBW_NUMBER,dcid:Earth,2000,22120.4
dcs:who/LBW_NUMBER,dcid:Earth,2018,20393.2
