SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2001,6.2
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2016,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2020,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2002,6.2
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2000,6.2
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2018,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2017,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2015,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2019,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2012,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2004,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2007,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2014,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2003,6.2
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2010,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2009,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2008,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2005,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2013,6.4
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2006,6.3
dcs:who/LBW_PREVALENCE,dcid:AustraliaAndNewZealand,2011,6.3
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2016,11.5
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2014,11.5
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2008,11.2
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2012,11.4
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2003,11.0
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2015,11.5
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2009,11.2
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2017,11.6
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2002,10.9
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2000,10.8
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2018,11.6
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2005,11.1
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2006,11.2
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2007,11.2
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2004,11.1
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2020,11.7
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2019,11.7
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2010,11.3
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2013,11.4
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2001,10.9
dcs:who/LBW_PREVALENCE,dcid:Caribbean,2011,11.3
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2016,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2010,10.8
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2003,10.7
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2013,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2005,10.7
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2017,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2002,10.7
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2018,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2006,10.7
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2020,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2007,10.8
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2009,10.8
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2019,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2004,10.7
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2015,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2012,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2011,10.8
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2008,10.8
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2001,10.6
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2014,10.9
dcs:who/LBW_PREVALENCE,dcid:CentralAmerica,2000,10.6
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2005,6.5
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2017,6.2
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2002,6.6
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2014,6.3
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2004,6.5
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2010,6.4
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2018,6.2
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2013,6.3
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2015,6.2
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2000,6.7
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2006,6.5
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2009,6.4
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2001,6.6
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2011,6.3
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2016,6.2
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2008,6.4
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2020,6.0
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2019,6.1
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2007,6.4
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2003,6.6
dcs:who/LBW_PREVALENCE,dcid:CentralAsia,2012,6.3
dcs:who/LBW_PREVALENCE,dcid:Earth,2013,15.0
dcs:who/LBW_PREVALENCE,dcid:Earth,2009,15.4
dcs:who/LBW_PREVALENCE,dcid:Earth,2016,14.6
dcs:who/LBW_PREVALENCE,dcid:Earth,2006,15.9
dcs:who/LBW_PREVALENCE,dcid:Earth,2002,16.5
dcs:who/LBW_PREVALENCE,dcid:Earth,2011,15.2
dcs:who/LBW_PREVALENCE,dcid:Earth,2004,16.3
dcs:who/LBW_PREVALENCE,dcid:Earth,2005,16.1
dcs:who/LBW_PREVALENCE,dcid:Earth,2020,14.7
dcs:who/LBW_PREVALENCE,dcid:Earth,2007,15.7
dcs:who/LBW_PREVALENCE,dcid:Earth,2019,14.6
dcs:who/LBW_PREVALENCE,dcid:Earth,2008,15.5
dcs:who/LBW_PREVALENCE,dcid:Earth,2012,15.0
dcs:who/LBW_PREVALENCE,dcid:Earth,2015,14.8
dcs:who/LBW_PREVALENCE,dcid:Earth,2018,14.6
dcs:who/LBW_PREVALENCE,dcid:Earth,2000,16.6
dcs:who/LBW_PREVALENCE,dcid:Earth,2010,15.3
dcs:who/LBW_PREVALENCE,dcid:Earth,2003,16.4
dcs:who/LBW_PREVALENCE,dcid:Earth,2014,14.8
dcs:who/LBW_PREVALENCE,dcid:Earth,2001,16.6
dcs:who/LBW_PREVALENCE,dcid:Earth,2017,14.5
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2005,15.2
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2011,14.8
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2015,14.5
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2009,14.9
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2000,15.5
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2010,14.9
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2014,14.5
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2016,14.4
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2003,15.3
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2001,15.5
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2020,14.0
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2013,14.6
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2007,15.0
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2002,15.4
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2019,14.1
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2008,15.0
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2017,14.3
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2018,14.2
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2006,15.1
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2004,15.3
dcs:who/LBW_PREVALENCE,dcid:EasternAfrica,2012,14.7
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2018,5.4
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2004,6.0
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2009,5.6
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2000,6.1
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2011,5.6
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2017,5.4
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2006,5.8
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2007,5.8
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2020,5.5
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2001,6.1
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2005,5.9
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2019,5.4
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2010,5.6
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2002,6.1
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2015,5.5
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2016,5.4
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2003,6.0
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2012,5.5
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2013,5.5
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2014,5.5
dcs:who/LBW_PREVALENCE,dcid:EasternAsia,2008,5.7
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2003,7.3
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2017,7.1
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2009,7.1
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2018,7.0
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2015,7.1
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2012,7.1
dcs:who/LBW_PREVALENCE,dcid:EasternEurope,2010,7.1
