SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/LIFE_0000000029.AGE--Y5T9,dcid:Earth,2019,0.00076
dcs:who/LIFE_0000000029.AGE--Y_GE85,dcid:Earth,2010,0.16836
dcs:who/LIFE_0000000029.AGE--Y65T69,dcid:Earth,2015,0.02025
dcs:who/LIFE_0000000029.AGE--Y30T34,dcid:Earth,2019,0.00159
dcs:who/LIFE_0000000029.AGE--Y55T59,dcid:Earth,2015,0.00938
dcs:who/LIFE_0000000029.AGE--Y20T24,dcid:Earth,2015,0.00119
dcs:who/LIFE_0000000029.AGE--Y80T84,dcid:Earth,2019,0.07834
dcs:who/LIFE_0000000029.AGE--Y70T74,dcid:Earth,2019,0.03022
dcs:who/LIFE_0000000029.AGE--M0T11,dcid:Earth,2015,0.03215
dcs:who/LIFE_0000000029.AGE--Y30T34,dcid:Earth,2015,0.00175
dcs:who/LIFE_0000000029.AGE--Y75T79,dcid:Earth,2019,0.04724
dcs:who/LIFE_0000000029.AGE--Y80T84,dcid:Earth,2015,0.08221
dcs:who/LIFE_0000000029.AGE--Y35T39,dcid:Earth,2015,0.00229
dcs:who/LIFE_0000000029.AGE--Y60T64,dcid:Earth,2010,0.01488
dcs:who/LIFE_0000000029.AGE--Y5T9,dcid:Earth,2010,0.00105
dcs:who/LIFE_0000000029.AGE--Y10T14,dcid:Earth,2010,0.00071
dcs:who/LIFE_0000000029.AGE--Y50T54,dcid:Earth,2010,0.00682
dcs:who/LIFE_0000000029.AGE--Y70T74,dcid:Earth,2015,0.03183
dcs:who/LIFE_0000000029.AGE--Y_GE85,dcid:Earth,2005,0.18178
dcs:who/LIFE_0000000029.AGE--Y10T14,dcid:Earth,2015,0.00063
dcs:who/LIFE_0000000029.AGE--Y25T29,dcid:Earth,2019,0.00128
dcs:who/LIFE_0000000029.AGE--Y40T44,dcid:Earth,2019,0.00288
dcs:who/LIFE_0000000029.AGE--Y40T44,dcid:Earth,2015,0.00299
dcs:who/LIFE_0000000029.AGE--Y20T24,dcid:Earth,2010,0.00138
dcs:who/LIFE_0000000029.AGE--Y80T84,dcid:Earth,2005,0.09395
dcs:who/LIFE_0000000029.AGE--Y35T39,dcid:Earth,2010,0.0026
dcs:who/LIFE_0000000029.AGE--Y80T84,dcid:Earth,2010,0.08623
dcs:who/LIFE_0000000029.AGE--Y20T24,dcid:Earth,2019,0.00113
dcs:who/LIFE_0000000029.AGE--Y25T29,dcid:Earth,2015,0.00135
dcs:who/LIFE_0000000029.AGE--Y30T34,dcid:Earth,2010,0.00212
dcs:who/LIFE_0000000029.AGE--Y1T4,dcid:Earth,2015,0.00281
dcs:who/LIFE_0000000029.AGE--Y45T49,dcid:Earth,2010,0.00478
dcs:who/LIFE_0000000029.AGE--Y_GE85,dcid:Earth,2015,0.16408
dcs:who/LIFE_0000000029.AGE--Y25T29,dcid:Earth,2010,0.00173
dcs:who/LIFE_0000000029.AGE--Y55T59,dcid:Earth,2010,0.00984
dcs:who/LIFE_0000000029.AGE--Y10T14,dcid:Earth,2019,0.00058
dcs:who/LIFE_0000000029.AGE--Y15T19,dcid:Earth,2010,0.00101
dcs:who/LIFE_0000000029.AGE--Y75T79,dcid:Earth,2010,0.05385
dcs:who/LIFE_0000000029.AGE--M0T11,dcid:Earth,2010,0.0377
dcs:who/LIFE_0000000029.AGE--Y70T74,dcid:Earth,2010,0.03499
dcs:who/LIFE_0000000029.AGE--Y1T4,dcid:Earth,2019,0.00236
dcs:who/LIFE_0000000029.AGE--Y55T59,dcid:Earth,2019,0.00874
dcs:who/LIFE_0000000029.AGE--Y_GE85,dcid:Earth,2019,0.1574
dcs:who/LIFE_0000000029.AGE--Y35T39,dcid:Earth,2019,0.00214
dcs:who/LIFE_0000000029.AGE--Y40T44,dcid:Earth,2010,0.00336
dcs:who/LIFE_0000000029.AGE--Y45T49,dcid:Earth,2015,0.00413
dcs:who/LIFE_0000000029.AGE--Y60T64,dcid:Earth,2015,0.0139
dcs:who/LIFE_0000000029.AGE--Y75T79,dcid:Earth,2015,0.04968
dcs:who/LIFE_0000000029.AGE--Y50T54,dcid:Earth,2015,0.00633
dcs:who/LIFE_0000000029.AGE--M0T11,dcid:Earth,2019,0.02865
dcs:who/LIFE_0000000029.AGE--Y1T4,dcid:Earth,2010,0.00366
dcs:who/LIFE_0000000029.AGE--Y65T69,dcid:Earth,2010,0.02277
dcs:who/LIFE_0000000029.AGE--Y45T49,dcid:Earth,2019,0.00385
dcs:who/LIFE_0000000029.AGE--Y60T64,dcid:Earth,2019,0.01324
dcs:who/LIFE_0000000029.AGE--Y50T54,dcid:Earth,2019,0.00579
dcs:who/LIFE_0000000029.AGE--Y65T69,dcid:Earth,2019,0.01959
dcs:who/LIFE_0000000029.AGE--Y15T19,dcid:Earth,2015,0.00087
dcs:who/LIFE_0000000029.AGE--Y5T9,dcid:Earth,2015,0.00086
dcs:who/LIFE_0000000029.AGE--Y15T19,dcid:Earth,2019,0.0008
dcs:who/LIFE_0000000029.AGE--M0T11__SEX--F,dcid:Earth,2019,0.02641
dcs:who/LIFE_0000000029.AGE--Y75T79,dcid:Earth,2005,0.05956
dcs:who/LIFE_0000000029.AGE--Y70T74__SEX--F,dcid:Earth,2019,0.02443
dcs:who/LIFE_0000000029.AGE--Y75T79,dcid:Earth,2000,0.06262
dcs:who/LIFE_0000000029.AGE--Y20T24,dcid:Earth,2000,0.00177
dcs:who/LIFE_0000000029.AGE--Y_GE85,dcid:Earth,2000,0.18515
dcs:who/LIFE_0000000029.AGE--Y55T59__SEX--F,dcid:Earth,2019,0.0065
dcs:who/LIFE_0000000029.AGE--Y_GE85__SEX--F,dcid:Earth,2019,0.14391
dcs:who/LIFE_0000000029.AGE--Y45T49,dcid:Earth,2000,0.0057
dcs:who/LIFE_0000000029.AGE--Y45T49__SEX--F,dcid:Earth,2019,0.00284
dcs:who/LIFE_0000000029.AGE--Y1T4,dcid:Earth,2000,0.00594
dcs:who/LIFE_0000000029.AGE--Y5T9__SEX--F,dcid:Earth,2019,0.00076
dcs:who/LIFE_0000000029.AGE--Y50T54,dcid:Earth,2000,0.00816
dcs:who/LIFE_0000000029.AGE--Y40T44,dcid:Earth,2005,0.00396
dcs:who/LIFE_0000000029.AGE--Y40T44__SEX--F,dcid:Earth,2019,0.00216
dcs:who/LIFE_0000000029.AGE--Y50T54,dcid:Earth,2005,0.0077
dcs:who/LIFE_0000000029.AGE--Y30T34__SEX--F,dcid:Earth,2019,0.00118
dcs:who/LIFE_0000000029.AGE--Y65T69,dcid:Earth,2005,0.02476
dcs:who/LIFE_0000000029.AGE--Y70T74,dcid:Earth,2005,0.03881
dcs:who/LIFE_0000000029.AGE--Y35T39__SEX--F,dcid:Earth,2019,0.0016
dcs:who/LIFE_0000000029.AGE--Y15T19,dcid:Earth,2000,0.00121
dcs:who/LIFE_0000000029.AGE--Y25T29,dcid:Earth,2000,0.00211
dcs:who/LIFE_0000000029.AGE--M0T11,dcid:Earth,2000,0.05341
dcs:who/LIFE_0000000029.AGE--Y60T64,dcid:Earth,2000,0.01777
dcs:who/LIFE_0000000029.AGE--Y20T24__SEX--F,dcid:Earth,2019,0.00084
dcs:who/LIFE_0000000029.AGE--Y60T64__SEX--F,dcid:Earth,2019,0.01004
