SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_ACT_TREATED,dcid:Earth,2019,166550788.0
dcs:who/MALARIA_ACT_TREATED,dcid:Earth,2021,184253280.0
dcs:who/MALARIA_ACT_TREATED,dcid:Earth,2020,152189422.0
dcs:who/MALARIA_ACT_TREATED,dcid:SouthEasternAsia,2020,380961.0
dcs:who/MALARIA_ACT_TREATED,dcid:SouthEasternAsia,2021,421364.0
dcs:who/MALARIA_ACT_TREATED,dcid:SouthEasternAsia,2019,612216.0
dcs:who/MALARIA_ACT_TREATED,dcid:africa,2019,160196387.0
dcs:who/MALARIA_ACT_TREATED,dcid:africa,2021,178308768.0
dcs:who/MALARIA_ACT_TREATED,dcid:africa,2020,145397421.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AFG,2021,84817.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AFG,2019,118145.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AFG,2020,100136.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AGO,2020,5797209.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AGO,2019,5575259.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/AGO,2021,7793251.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BDI,2021,5693645.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BDI,2020,4289288.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BDI,2019,8444710.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BEN,2020,2095303.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BEN,2019,2353657.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BEN,2021,2985960.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BFA,2020,10237424.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BFA,2019,11223002.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BFA,2021,11030942.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BGD,2019,15099.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BGD,2021,5340.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BGD,2020,4885.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BLZ,2019,0.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BLZ,2021,0.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BLZ,2020,0.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BOL,2019,9357.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BOL,2020,12093.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BOL,2021,9959.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BRA,2020,23691.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BRA,2021,34952.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BRA,2019,74360.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BTN,2020,8.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BTN,2019,11.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BTN,2021,5.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BWA,2019,272.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/BWA,2020,953.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CAF,2021,2223562.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CAF,2020,1740970.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CAF,2019,2602171.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CIV,2021,6234917.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CIV,2020,4365387.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CIV,2019,5200350.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CMR,2020,1122865.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CMR,2019,1157011.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CMR,2021,1359417.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COD,2021,18535664.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COD,2020,19192707.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COD,2019,18853209.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COG,2019,233389.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COG,2020,103692.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COG,2021,161693.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COL,2019,39891.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COL,2021,36531.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COL,2020,39879.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COM,2021,9609.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COM,2020,4546.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/COM,2019,11593.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CPV,2021,21.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CPV,2020,10.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CPV,2019,40.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/CRI,2021,12.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/DJI,2019,47691.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/DJI,2021,56081.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/DJI,2020,69029.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/DOM,2019,7.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/ECU,2019,265.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/ECU,2020,243.0
dcs:who/MALARIA_ACT_TREATED,dcid:country/ECU,2021,499.0
