SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2012,42884688.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2002,8104763.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2020,156031611.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2011,27014812.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2001,7025326.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2000,6424322.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2005,12277368.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2021,166195693.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2015,99795839.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2010,26376297.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2016,130090416.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2006,12156578.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2007,13710885.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2004,10742681.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2003,10941144.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2013,50084597.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2009,18062247.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2014,82666986.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2019,161484031.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2017,138845276.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2018,126411946.0
dcs:who/MALARIA_CONF_CASES,dcid:Earth,2008,14752731.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2009,2569930.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2013,1645167.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2003,2470876.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2017,1237915.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2019,670880.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2007,2355799.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2001,2844449.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2011,2315345.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2021,558713.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2005,2449462.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2015,1640979.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2006,2464662.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2016,1467669.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2002,2606950.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2012,2073723.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2004,2540387.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2020,511840.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2014,1671061.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2000,2860018.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2008,2620740.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2018,751169.0
dcs:who/MALARIA_CONF_CASES,dcid:SouthEasternAsia,2010,2641636.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2001,2387421.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2011,22905685.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2016,126007349.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2020,151636256.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2006,7327748.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2005,7476429.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2014,78544699.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2015,96147691.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2008,10441340.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2004,5927199.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2018,121571041.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2021,161968274.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2000,1393472.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2010,21571545.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2019,156584840.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2012,39003547.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2017,134342232.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2007,9224013.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2009,13572200.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2002,3323502.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2013,46466541.0
dcs:who/MALARIA_CONF_CASES,dcid:africa,2003,5519840.0
dcs:who/MALARIA_CONF_CASES,dcid:country/AFG,2003,360940.0
