SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_EST_CASES,dcid:Earth,2000,245266552.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2016,232001838.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2013,233321029.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2002,245855718.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2009,246150919.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2004,250784149.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2014,230602955.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2005,249012476.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2003,249408950.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2006,243531222.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2011,241599970.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2010,247670761.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2007,241371462.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2019,232401031.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2008,241236782.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2012,238485295.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2015,230462411.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2020,245085135.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2017,236597200.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2018,231237356.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2021,247430170.0
dcs:who/MALARIA_EST_CASES,dcid:Earth,2001,249982065.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2004,25375239.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2006,22532269.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2019,6429743.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2013,13184411.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2021,5383185.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2018,7538051.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2012,17733180.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2002,21909307.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2001,23135506.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2009,23692669.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2007,22023468.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2016,13708602.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2005,27163552.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2011,20591288.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2014,12808643.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2008,23238039.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2003,23099437.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2015,13239318.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2010,23982334.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2020,4998046.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2017,10243361.0
dcs:who/MALARIA_EST_CASES,dcid:SouthEasternAsia,2000,22845005.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2017,218442674.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2005,212856354.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2021,233829474.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2002,213799385.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2006,212073244.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2018,215442566.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2010,216716235.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2009,215949937.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2004,216335188.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2003,216401199.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2008,211953110.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2020,231933554.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2007,211773290.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2016,210772642.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2001,215879554.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2013,213649463.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2014,211298150.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2019,217915997.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2015,211088430.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2012,214135861.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2011,214366744.0
dcs:who/MALARIA_EST_CASES,dcid:africa,2000,211089820.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2020,253150.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2000,1312939.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2001,1312939.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2018,633500.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2006,418216.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2005,535477.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2015,368235.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2008,402909.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2003,1242906.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2009,274981.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2011,362319.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2010,292015.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2014,319142.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2004,716954.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2007,452626.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2002,1382972.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2016,733205.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2021,193232.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2013,279634.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2019,413480.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2017,798871.0
dcs:who/MALARIA_EST_CASES,dcid:country/AFG,2012,220653.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2000,5339605.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2001,5533981.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2006,6076182.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2016,5523430.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2007,5736210.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2004,5889113.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2003,5686167.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2005,6146933.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2019,7352473.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2021,8794084.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2020,8410016.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2017,6312055.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2018,6700267.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2012,3884445.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2013,4201780.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2002,5414605.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2014,4524454.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2011,3812871.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2015,4969705.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2010,4035439.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2009,4429795.0
dcs:who/MALARIA_EST_CASES,dcid:country/AGO,2008,5063972.0
dcs:who/MALARIA_EST_CASES,dcid:country/ARE,2017,0.0
dcs:who/MALARIA_EST_CASES,dcid:country/ARE,2007,0.0
