SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2018,566857.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2003,825303.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2005,783359.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2006,771084.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2008,731497.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2007,751461.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2019,568392.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2017,587091.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2011,660176.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2013,602547.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2010,703603.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2015,576659.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2004,807205.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2002,846614.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2014,583984.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2009,720547.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2020,624525.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2000,896635.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2001,888481.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2016,579946.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2012,622370.0
dcs:who/MALARIA_EST_DEATHS,dcid:Earth,2021,618975.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2007,32598.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2003,32860.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2002,32437.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2008,35458.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2021,9109.0
dcs:who/MALARIA_EST_DEATHS,dcid:SouthEasternAsia,2018,10978.0
