SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2013,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2019,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2003,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2006,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2001,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2002,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2009,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2007,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2000,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2018,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2017,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2022,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2015,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2008,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2012,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2021,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2011,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2004,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2014,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2020,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2005,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:AustraliaAndNewZealand,2010,0.0
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2020,2.59242
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2021,1.39621
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2014,2.25069
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2022,2.13452
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2003,6.10624
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2011,5.82435
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2008,6.66073
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2015,2.17296
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2004,6.19272
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2000,6.05522
dcs:who/MALARIA_EST_INCIDENCE,dcid:Caribbean,2012,4.58747
