SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_IMPORTED,dcid:Earth,2019,74410.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2020,54870.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2014,37453.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2018,75572.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2015,93250.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2013,44105.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2012,20322.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2016,65819.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2011,18646.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2010,13924.0
dcs:who/MALARIA_IMPORTED,dcid:Earth,2017,84318.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2012,2192.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2020,2504.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2019,4160.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2011,2260.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2014,1440.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2013,236.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2015,21292.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2016,12864.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2017,9634.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2018,4596.0
dcs:who/MALARIA_IMPORTED,dcid:SouthEasternAsia,2010,104.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2017,40298.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2013,4768.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2014,9048.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2019,36418.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2010,1264.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2020,33014.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2011,874.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2015,27856.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2018,31726.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2012,2126.0
dcs:who/MALARIA_IMPORTED,dcid:africa,2016,16084.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2018,23.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2013,11.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2011,28.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2014,15.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2015,11.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2017,18.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2016,7.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2010,55.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARG,2012,16.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2016,2.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2010,1.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2012,4.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2018,6.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2017,2.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2020,3.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2014,1.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2011,0.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2015,2.0
dcs:who/MALARIA_IMPORTED,dcid:country/ARM,2013,0.0
dcs:who/MALARIA_IMPORTED,dcid:country/AZE,2010,2.0
dcs:who/MALARIA_IMPORTED,dcid:country/AZE,2015,1.0
