SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2020,17.96415
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2019,16.16088
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2015,12.87517
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2018,13.41661
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2017,8.60775
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2021,18.39827
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2016,7.02422
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/AGO,2014,4.63615
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2021,54.26102
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2015,41.15653
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2020,56.53876
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2014,35.1599
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2017,52.60804
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2016,47.15316
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2019,64.60129
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BDI,2018,60.22991
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BEN,2018,27.31914
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BEN,2020,37.03637
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BEN,2017,11.27606
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BEN,2021,37.25677
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BEN,2019,33.97283
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2017,41.42899
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2015,38.48222
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2020,59.60052
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2016,50.98875
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2018,57.99045
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2021,76.22649
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2014,14.84149
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/BFA,2019,58.80553
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2021,34.62205
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2018,29.70462
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2020,41.67147
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2016,20.83924
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2019,36.79025
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2017,15.58157
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CAF,2015,13.4867
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2018,38.10838
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2016,29.71387
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2021,44.33117
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2020,44.33117
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2015,10.40508
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2014,19.05914
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2017,32.7389
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2019,41.45932
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CIV,2013,9.32652
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2014,15.09003
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2017,23.53475
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2019,31.99541
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2013,15.6414
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2016,19.32217
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2012,14.46419
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2018,26.03183
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2021,38.76593
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2015,17.70265
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/CMR,2020,28.07588
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2021,59.04582
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2015,10.33033
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2020,68.14968
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2018,50.24826
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2019,59.13928
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2014,0.01835
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2017,40.67784
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COD,2016,29.63948
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2017,5.27808
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2015,4.45733
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2018,7.62655
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2021,12.08237
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2016,2.70794
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2020,4.77412
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2014,3.43586
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/COG,2019,7.16608
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2013,6.14489
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2017,8.40079
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2012,3.01042
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2018,33.18101
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2015,7.21668
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2020,19.5697
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2021,19.5697
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2010,1.0195
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2016,9.0272
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2014,9.13241
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GAB,2019,24.03131
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2020,45.53426
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2014,26.03377
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2016,37.93853
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2018,46.57822
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2013,40.0914
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2015,42.62039
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2021,56.38182
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2019,47.849
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2017,43.55831
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GHA,2012,45.50835
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2019,73.32401
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2013,0.00015
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2015,0.00017
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2020,82.74226
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2014,0.00012
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2017,29.4914
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2016,0.00018
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2018,68.46394
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GIN,2021,89.55403
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2018,46.51939
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2019,46.62297
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2016,6.4923
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2021,40.85644
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2017,21.32875
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GMB,2020,39.85082
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2017,17.48596
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2018,29.08509
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2016,6.40526
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2021,39.79045
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2019,39.79045
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNB,2020,39.79045
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2017,3.16672
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2019,4.2243
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2013,1.72672
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2014,2.26767
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2020,4.2243
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2021,4.2243
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2015,2.69231
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2016,3.48762
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/GNQ,2018,3.90256
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2011,8.31381
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2015,22.99
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2012,10.85524
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2010,6.9
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2021,33.7281
dcs:who/MALARIA_IPTP3_COVERAGE,dcid:country/KEN,2020,31.18667
