SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/AGO,2020,44633.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/ARG,2018,155.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BDI,2020,1243848.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BDI,2019,725449.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BDI,2018,1754679.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BEN,2018,1321758.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BEN,2020,1104928.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BEN,2019,1077411.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BFA,2019,587248.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BFA,2020,508017.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BFA,2018,766374.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BGD,2018,72000.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BGD,2019,98786.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BLZ,2018,36688.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BLZ,2020,45100.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BLZ,2019,43497.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BOL,2020,29228.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BOL,2018,2000.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BOL,2019,29228.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BRA,2020,148897.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BRA,2019,84126.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BRA,2018,99321.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BTN,2019,118730.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BTN,2020,122406.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BTN,2018,76809.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BWA,2018,83488.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BWA,2020,152560.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/BWA,2019,154663.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CHN,2019,206599.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CHN,2020,174619.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CHN,2018,161224.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CIV,2020,193935.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/COD,2018,111735.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/COL,2018,60000.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/COL,2019,143320.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/COM,2020,57658.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CPV,2020,233171.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CPV,2019,302520.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CRI,2020,6895.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/CRI,2018,4095.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/DJI,2020,28496.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/DJI,2019,37663.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/DOM,2018,36891.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/DOM,2020,37821.0
dcs:who/MALARIA_IRS_COVERAGE,dcid:country/DOM,2019,33226.0
