SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2010,12300917.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2021,148948940.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2011,10098906.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2015,44786163.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2020,139892584.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2012,22611873.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2014,42822021.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2019,114224092.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2013,24057318.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2016,55489094.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2018,85460613.0
dcs:who/MALARIA_PF_INDIG,dcid:Earth,2017,79212797.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2011,1365941.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2017,744483.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2019,334850.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2013,896613.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2018,368174.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2010,1537668.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2015,1018258.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2021,272829.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2014,1040717.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2020,279471.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2016,907169.0
dcs:who/MALARIA_PF_INDIG,dcid:SouthEasternAsia,2012,1080410.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2014,41385246.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2015,43386766.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2021,146860895.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2018,83258541.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2010,10264747.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2020,137719397.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2016,53764152.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2011,8365280.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2012,21074620.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2017,77338014.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2013,22714915.0
dcs:who/MALARIA_PF_INDIG,dcid:africa,2019,111842211.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2012,1231.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2020,2691.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2015,4004.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2013,1877.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2017,6907.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2011,5581.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2016,6369.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2014,3000.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2019,2701.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2018,6437.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2021,3921.0
dcs:who/MALARIA_PF_INDIG,dcid:country/AFG,2010,6142.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2011,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2012,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2020,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2010,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2015,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2017,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2014,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2019,0.0
dcs:who/MALARIA_PF_INDIG,dcid:country/ARG,2013,0.0
