SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2017,33090331.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2018,39666605.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2008,72035889.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2007,81330703.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2006,77594163.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2016,37528511.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2004,78321629.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2013,84123653.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2003,76612555.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2019,13607471.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2009,87272660.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2014,60809895.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2020,18684845.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2002,58714304.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2012,80458815.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2011,85647241.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2001,56641572.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2005,78354877.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2000,47190225.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2021,15559878.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2010,90029177.0
dcs:who/MALARIA_PRES_CASES,dcid:Earth,2015,51055411.0
dcs:who/MALARIA_PRES_CASES,dcid:SouthEasternAsia,2002,1123095.0
dcs:who/MALARIA_PRES_CASES,dcid:SouthEasternAsia,2012,70845.0
dcs:who/MALARIA_PRES_CASES,dcid:SouthEasternAsia,2006,756803.0
dcs:who/MALARIA_PRES_CASES,dcid:SouthEasternAsia,2016,9759.0
